Notice Date,"NAICS
                                  Code",Company,Location,"WIA
                                  Code","Total
                                  Employees","Effective
                                  Date","Type
                                  Code"
5/27/2020,488119,Prosegur Services Group at BWI,"7050 Friendship Road Baltimore, MD 21240",1,27,5/18/2020,2
1/3/2019,452210,Sears Department Store,"2306 N. Salisbury Blvd. Salisbury, MD 21801",5,51,3/24/2019,1
1/15/2019,493110,Staples Fulfillment Center,"7021 Dorsey Road Hanover, MD 21076",1,61,3/16/2019,1
1/23/2019,522110,Bank of America,"11333 McCormick Road Hunt Valley, MD 21031",2,74,4/30/2019,2
1/25/2019,531130,XPO Logistics Worldwide,"610 Chelsea Road Aberdeen, MD 21001",10,167,3/18/2019,1
2/14/2019,561612,"Centerra Group, LLC","11555 Rockville Pike Rockville, MD 2085",7,87,3/31/2019,2
2/25/2019,451110,Under Armour,"1020 Hull Street Baltimore, MD 21230",3,50,"3/8/19-
                                6/30/19",2
3/4/2019,336350,"General Motors, LLC","10301 Philadelphia Road White Marsh, MD 21162",2,296,5/4/2019,1
3/4/2019,561612,Omniplex World Services,"Anne Arundel County, Maryland",1,344,4/30/2019,2
3/4/2019,488510,"New England Motor Freight, INC","1508 John Avenue Baltimore, MD 21227",3,59,2/15/2019,1
3/4/2019,488510,"New England Motor Freight, INC","16503 Hunters Green Parkway             Hagerstown, MD",12,93,2/15/2019,1
3/4/2019,488510,"New England Motor Freight, INC","3 Center Drive Northeast, MD 21901",10,81,2/15/2019,1
3/8/2019,541618,"Livanta, LLC","10830 Guilford Road Suite 311             Annapolis Junction, MD 20701-1108",1,94,5/8/2019,2
3/15/2019,485991,MV Contract Transporation,"4501 Curtis Avenue Baltimore, MD 21226",3,249,4/19/2019,1
3/25/2019,4451100,Shop Rite Store,"6716 Governor Ritchie Highway                       Glen Burnie, MD 21061",1,134,5/24/2019,1
3/28/2019,522320,"PayPal, Inc.","101 Schilling Road Suite 40 Hunt Valley, MD 21031",2,180,7/8/2019,1
3/28/2019,522320,"PayPal, Inc.","55 Schilling Road Hunt Valley, MD 21031",2,200,7/8/2019,1
4/19/2019,541330,AECOM Management Services,"4600 Sangamore Road Bethesda, MD 20816",7,TBD,7/5/2019,1
4/19/2019,541330,AECOM Management Services,"Maryland Square Riverdale, MD",8,TBD,7/5/2019,1
4/30/2019,322121,Verso,"300 Pratt Street Luke, MD 21540",12,675,6/30/2019,1
5/16/2019,722310,"Aramark Educational Services, LLC","Coppin State University
                                  2500 W. North Avenue Baltimore, MD 21216",3,69,7/31/2019,2
5/28/2019,322211,Krafcor Industries,"6301 Seaforth Street Baltimore, MD 21224",3,40,7/15/2019,1
5/31/2019,444120,The Sherwin-Williams Company,"10406 Tucker Street Beltsville, MD 20705",8,64,8/2/2019,1
6/5/2019,452210,Lord and Taylor,"701 Russell Avenue, Lakeforest Blvd. Gaithersburg, MD 20877",7,73,9/15/2019,1
6/26/2019,524126,State Farm Mutual Automobile Insurance,"1 State Farm Drive Frederick, MD             21701-9332",4,205,8/31/2019,1
7/2/2019,621420,Meridian Behavioral Health,"2015 Martins Grant Ct Crownsville, MD 21032",1,65,8/31/2019,1
7/2/2019,339999,Chesapeake Bay Candle Company,"226 Dover Road Glen Burnie, MD 21061",1,120,9/13/2019,1
7/10/2019,333511,"RAMPF Molds Industries, Inc.","90 Western Maryland Parkway          Hagerstown, MD 21740",12,33,7/23/2019,2
7/10/2019,485999,"Transdev Services, Inc.","1601 Wicomico Street Baltimore, MD 21230",3,18,8/9/2019,1
7/15/2019,452210,JC Penney,"701 Russell Avenue Gaithersburg, MD 20877",7,113,7/5/2019,1
7/22/2019,311412,"DPI Foods Mid Atlantic, Inc.","1000 Prince Georges Blvd  Upper Marlboro, MD 20774",8,280,9/21/2019,1
7/22/2019,504701,"NovaSom, Inc","801 Cromwell Park Drive Glen Burnie, MD 21061",1,169,9/1/2019,1
7/23/2019,326111,"Amcor Flexibles, LLC","747 Bowman Avenue Hagerstown, MD 21740",12,74,12/31/2019,1
7/29/2019,541214,"ADP, LLC","11411 Red Run Boulevard Owings Mills, MD 21117",2,123,9/27/2019,1
9/4/2019,452210,KMART,"200 Kent Landing Stevensville, MD 21666",11,60,12/15/2019,1
9/5/2019,452210,Transform SR LLC-01754                  (Sears Department Store),"701 Russell Avenue Gaithersburg, MD 20877",7,80,12/1/2019,1
9/5/2019,811111,Transform SR LLC-06544                  (Sears Auto Center),"701 Russell Avenue Gaithersburg, MD 20877",7,14,12/1/2019,1
9/9/2019,311520,Nestl̩ Dreyer's Ice Cream Company,"9090 Whiskey Bottom Rd Laurel, MD 20723",6,69,11/1/2019,2
9/16/2019,488119,"PAE Applied Technologies, LLC","Patuxent River, MD",9,14,11/17/2019,2
9/30/2019,442110,Bob's Discount Furniture,"3015  Festival Way Waldorf, MD 20601",9,13,11/11/19,1
10/30/2019,511110,"Post Community Media, LLC","13501 Konterra Drive Laurel, MD 20707",8,34,12/31/2019,1
11/1/2019,621112,"Beacon Health Options, Inc.","1099 Winterson Road Suite 200                           Linthicum, MD 21090",1,65,12/31/2019,1
11/1/2019,531311,Oakwood Worldwide (US) LP,"888 Airport Park Rd Suite A                                Glen Burnie, MD 21061",1,1,12/31/2019,1
11/19/2019,524113,CEI Collision and Fleet Safety,"940 Ridgebrook Road Sparks, MD 21152",2,66,8/30/2019,2
11/22/2019,522292,Common Securizations Solutions,"7501 Wisconsin Avenue Suite 300-W                         Bethesda, MD 20814",7,36,11/22/2019,2
12/6/2019,445110,Shoppers Food & Pharmacy,"2371 Solomons Island Road                   Annapolis, MD 21401",1,72,2/5/2020,1
12/6/2019,445110,Shoppers Food & Pharmacy,"5722 Ritchie Highway Brooklyn Park, MD 21225",1,76,2/5/2020,1
12/6/2019,445110,Shoppers Food & Pharmacy,"22599 MacArthur Blvd.                      California, MD 20619",9,56,2/5/2020,1
12/6/2019,445110,Shoppers Food & Pharmacy,"4801 Marlboro Pike Capitol Heights, MD 20743",8,73,2/5/2020,1
12/6/2019,445110,Shoppers Food & Pharmacy,"6500 Eastern Avenue Baltimore, MD 21224",3,63,2/5/2020,1
12/6/2019,445110,Shoppers Food & Pharmacy,"7051 Martin Luther King Jr. Highway  Landover, MD 20875",8,72,2/5/2020,1
12/6/2019,445110,Shoppers Food & Pharmacy,"8212 Liberty Road       Baltimore, MD 21244",2,75,2/5/2020,1
12/6/2019,445110,Shoppers Food & Pharmacy,"6111 Livingston Road Oxon Hill, MD 20745",8,83,2/5/2020,1
12/6/2019,445110,Shoppers Food & Pharmacy,"6881 New Hampshire Avenue                             Takoma Park, MD 20912",7,67,2/5/2020,1
12/6/2019,445110,Shoppers Food & Pharmacy,"1170 West Smallwood Drive                       Waldorf, MD 20912",9,67,2/5/2020,1
12/6/2019,445110,Shoppers Food & Pharmacy,"2201 Randolph Road      Wheaton, MD 20902",7,81,2/5/2020,1
12/17/2019,451120,A.C. Moore Arts & Crafts,"5 Bel Air South Parkway Bel Air, MD 21015",10,33,2/28/2020,1
12/17/2019,451120,A.C. Moore Arts & Crafts,"7330 Guilford Drive Frederick, MD 21704",4,23,2/28/2020,1
12/17/2019,451120,A.C. Moore Arts & Crafts,"6625A Governor Ritchie Highway                       Glen Burnie, MD 21061",1,24,2/28/2020,1
12/17/2019,451120,A.C. Moore Arts & Crafts,"17656 Garland Groh Blvd                                 Hagerstown, MD 21740",12,25,2/28/2020,1
12/17/2019,451120,A.C. Moore Arts & Crafts,"10240 Mill Run Circle Suite 1                      Owings Mills, MD 21117",2,23,2/28/2020,1
12/17/2019,451120,A.C. Moore Arts & Crafts,"12013 Rockville Pike Rockville, MD 20852",7,40,2/28/2020,1
12/17/2019,451120,A.C. Moore Arts & Crafts,"571 Ritchie Highway Severna Park, MD 21146",1,27,2/28/2020,1
12/17/2019,451120,A.C. Moore Arts & Crafts,"3035 Waldorf Market Place Waldorf, MD 20603",9,40,2/28/2020,1
12/17/2019,451120,A.C. Moore Arts & Crafts,"8115 D Honeygo Blvd. White Marsh, MD 21236",2,24,2/28/2020,1
12/19/2019,445110,Shoppers Food & Pharmacy,"5110 Nicholson Lane Kensington, MD 20895",7,56,2/17/2020,1
12/26/2019,561920,Event Solutions                                   d/b/a Motus One,"8906 Yellow Brick Rd Suite 6                            Rosedale, MD 21237",2,9,12/20/2019,2
1/9/2018,336411,Lockheed Martin Aeronautics Division,"3136 Peary Road , Patuxent River, MD 20670",9,20,3/9/2018,2
1/10/2018,221118,Constellation,"1310 Point Street, Baltimore, MD 21231",3,25,12/31/2017,2
1/11/2018,452910,Sam's Club #4766,"9760 Reistertown Rd, Owings Mills, MD 21117",2,169,4/13/2018to 5/11/2018,1
1/19/2018,713210,"CBAC Borrower, LLC d/b/a Horseshoe Baltimore","1525 Russell Street, Baltimore, MD 21230",3,91,2/25/2018,2
2/1/2018,561110,"Compass Group, USA Inc.","10301 Philadelphia Road, White Marsh, MD 21162",2,5,4/1/2018,2
2/14/2018,524210,Transamerica Life Insurance Company,"100 Light Street, Baltimore, MD 21202",3,55,4/14/2018,2
3/5/2018,323111,Cenveo Corp. Port City Press,"1323 Greenwood Rd. Baltimore, MD 21208",2,113,3/5/2018to 5/4/2018,1
3/6/2018,541110,"Ameritox, LLC","7090 Samuel Morse Drive, Suite 300, Columbia, MD 21046",6,99,5/4/2018,1
3/7/2018,621511,"Nantomics, LLC","9600 Medical Center Dr #300 Rockville, MD 20850",7,52,5/8/2018,2
3/9/2018,488510,"Kane Freight Lines, Inc.","14557 Industrial Drive Hagerstown, MD 21740",12,53,5/31/2018,1
3/23/2018,621111,The Lash Group LLC,"9715 Key West Avenue Rockville, MD 20850",7,250,6/1/2018,1
3/23/2018,812331,Cintas Corporation,"136 Lafayette Avem, Laurel, MD 20707",8,47,3/30/2018 - 6/2018,2
4/9/2018,721110,Towson University Marriott Conference Hotel,"10 Burke Ave, Towson, MD 21204",2,60,6/30/2018,2
5/7/2018,485111,First Transit,"8210 Beechcraft Avenue Gaithersburg, MD 20879",7,221,7/1/2018,1
5/8/2018,522110,Howard Bank,"8820 Columbia 100 Parkway, Suite 400, Ellicott City, MD 21045",6,25,6/29/2018,1
5/25/2018,522110,Peoples Bank & Trust Co.,"90 Painters Mill Road, STE210-215, STE 200, Owings Mills, MD 21117",2,82,7/27/2018,1
6/8/2018,334220,AECOM,"20501 Seneca Meadows Parkway Germantown, MD 20876",7,173,"7/27/2018 -
                                 8/31/2018",2
6/12/2018,541511,"PESYSTEMS, INC.","1535 Command Drive Andrews AFB, MD 20762",8,4,8/10/2018,2
6/15/2018,541720,"Inovalon, Inc.","7120 Samuel Morse Drive, Columbia, MD 21046",6,70,8/17/2018,1
6/22/2018,523930,Wells Fargo & Company,"8480 Stagecoach Circle Frederick, MD 21701",4,61,8/19/2018,2
6/29/2018,531210,CoStar Group,"7120 Samuel Morse Drive, 3rd Floor, Columbia, MD 21046",6,104,8/31/2018,1
7/17/2018,451120 and 448130,"Toys ""R"" Us Babies ""R"" Us","7106 Geoffrey Way, Frederick, MD 21704",4,161,9/15/2018,1
7/30/2018,721110,DoubleTree by Hilton-Pikesville,"1726 Reisterstown Road Pikesville, MD 21208",2,130,9/20/18 - 9/30/18,2
8/27/2018,523930,Wells Fargo & Company.,"8435 Progress Dr. Frederick, MD 21701",4,42,10/23/2018,2
8/29/2018,518210,Discovery Inc.,"1 Discovery Place, Silver Spring, MD 20910",7,212,10/1/2018,1
8/31/2018,722310,MedStar Franklin Square Hospital,"9000 Franklin Square Dr                              Baltimore, MD 21237",2,102,10/31/2018,2
8/31/2018,722310,MedStar Good Samaritan,"5601 Loch Raven Blvd. Baltimore, MD 21239",3,51,10/31/2018,2
8/31/2018,722310,MedStar Harbor Hospital,"3001 S. Hanover St.             Baltimore, MD 21225",3,55,10/31/2018,2
8/31/2018,722310,MedStar Union Memorial Hospital,"201 E. University Parkway                      Baltimore, MD 21218",3,63,10/31/2018,2
9/27/2018,541330,CSRA (General Dynamics Information Technology),"9609 Medical Center Drive Rockville, MD 20850",7,122,11/26/2018,2
9/28/2018,523930,Wells Fargo & Company,"8480 Stagecoach Circle Frederick, MD 21701",4,61,11/25/2018,2
10/5/2018,445110,"Dawson's Market (Subsidiary of Ellwood Thompson, Inc.)","225 N. Washington Street Rockville, MD 20850",7,62,10/27/2018,2
10/19/2018,325413,"Lonza Walkersville, Inc.","8830 Biggs Ford Road Walkersville, MD 21793",4,60,12/31/2018,2
10/25/2018,452210,KMART,"835 Solomons Island Road North               Prince Frederick, MD 20678",9,82,1/13/2019,1
10/26/2018,452210,KMART,"6163 Oxon Hill Road Oxon Hill, MD 20745",8,96,1/13/2019,1
11/5/2018,485991,First Transit,"7409 Baltimore Annapolis Boulevard Glen Burnie, MD 21061",1,47,1/1/2019,1
11/8/2018,493110,Saks Fith Avenue (Distribution Center),"500 Hickory Drive Aberdeen, MD 21001",10,TBD,3/1/19 - 8/31/19,1
11/13/2018,812332,Crothall Healthcare Laundry Facility,"1350 Brass Mill Road Belcamp, MD 21017",10,152,1/7/2019,1
11/15/2018,423490,"Maintenance Supply Headquarters, LP","13401 Konterra Drive Laurel, MD 20707",8,51,11/9/2018,2
11/19/2018,722310,Sodexo at McDaniel College,"2 College Hill                  P.O. Box 13A Westminster, MD 21157",6,107,12/31/2018,1
11/19/2018,523930,Wells Fargo & Company,"8480 Stagecoach Circle Frederick, MD 21701",4,8,1/15/2019,2
11/27/2018,423450,GE Healthcare,"8880 Gorman Rd           Laurel, MD 20723",6,76,12/31/18 - 7/31/19,2
12/10/2018,424410,"Maines Paper & Food Service, Inc.","1501 Perryman Rd Aberdeen, MD 21001",10,106,2/10/2019,2
12/10/2018,522292,Bridgeview Bank Group,"8820 Columbia Parkway Suite 100 Columbia, MD 21045",6,41,11/11/18 - 12/31/18,2
1/18/2017,517919,Comcast,"8700 B Ritchie Drive, Capitol Heights, MD 20743",8,90,7/14/2017,2
1/20/2017,445110,Whole Foods Market,"1521 Cabin Branch Rd, Landover, MD 20785",8,136,2/12/2017,1
2/16/2017,624210,Good Shepherd Services,"4100 Maple Ave, Baltimore, MD 21227",2,230,4/17/2017,1
2/22/2017,337000,idX,"8901 Snowden River Pkwy, Ste. 100, Columbia, MD 21046",6,68,5/1/2017,1
2/27/2017,325411,"Cempra, Inc.","6320 Quadrangle Drive, Ste. 360, Chapel Hill, NC 27517",1,1,3/1/2017,2
3/1/2017,611430,"HealthStream, Inc.","7710 Montpelier Road, Laurel, MD 20723",6,134,4/30/2017,1
3/2/2017,443141,"HHGregg, Inc.","14301 Mattawoman Drive, Brandywine, MD 20613",8,63,4/30/2017,1
3/9/2017,332312,Canam Steel Corportation,"4010 Clay Street, Point of Rocks, MD 21777",4,80,3/10/2017,2
3/30/2017,453998,Dollar Express,"5110 Indian Head Hwy, Oxon Hill, MD 20745",8,22,6/30/2017,1
3/3020/17,453998,Dollar Express,"2201 Varnum St, Mt. Rainer, MD 20712",8,11,6/30/2017,1
3/30/2017,453998,Dollar Express,"9347 Annapolis Rd, Lanham, MD 20706",8,8,6/30/2017,1
3/30/2017,453998,Dollar Express,"3265 Brinkley Rd, Temple Hills, MD 20748",8,7,6/30/2017,1
3/30/2017,453998,Dollar Express,"9115 Central Ave, Capitol Heights, MD 20743",8,13,6/30/2017,1
3/30/2017,453998,Dollar Express,"5900 Reistertown Rd, Baltimore, MD 21215",3,13,6/30/2017,1
3/30/2017,453998,Dollar Express,"3824 Eastern Ave, Baltimore, MD 21224",3,7,6/30/2017,1
3/30/2017,453998,Dollar Express,"4206 Frankford Ave, Baltimore, MD 21206",3,15,6/30/2017,1
3/30/2017,453998,Dollar Express,"2429 Frederick Ave, Baltimore, MD 21223",3,16,6/30/2017,1
3/30/2017,453998,Dollar Express,"234 Tilghman Rd, Salisbury, MD 21804",5,5,6/30/2017,1
3/30/2017,453998,Dollar Express,"13817 Outlet Dr, Silver Spring, MD 20904",7,13,6/30/2017,1
5/2/2017,485990,"First Transit, Inc.","10745 DeMarr Road, White Plains, MD 20695",9,77,7/1/2017,1
5/17/2017,331420,"Kaydon Ring & Seal, Inc.","1600 Wicomico St, Baltimore, MD 21230",3,217,7/17/2017,1
5/26/2017,311999,Kellogg Company,"11841 Newgate Blvd, Hagerstown, MD 21740",12,76,7/29/2017,2
6/7/2017,541511,Inovalon,"7120 Samuel Morse Drive, Columbia, MD 21046",6,113,7/10/2017,2
6/29/2017,623110,NMS Healthcare of Hagerstown.,"14014 Marsh Pike, Hagerstown, MD 21742",12,approx. 150,6/30/2017,1
7/10/2017,541618,Locke Insulators,"2525 Insulator Dr, Baltimore, MD 21230",3,107,9/8/2017,1
7/25/2017,221118,Direct Energy,"7101 Riverwood Drive, Columbia, MD 21046",6,108,9/12/2017,1
7/27/2017,423120,Volvo Group North America,"7101 Troy Hill Drive Elkridge, MD 21075",6,30,7/28/2017,2
7/28/2017,5312100,First Potomac Realty Trust,"10320 Little Patuxent Parkway, Suite 600, Columbia, MD 21044",6,22,10/1/2017,2
7/28/2017,531110,First Potomac Realty Trust,"7600 Wisconsin Ave, Bethesda, MD 20814",7,50,10/1/2017,2
8/1/2017,443142,OrderUp (a subsidiary of Groupon),"2400 Boston St, 2nd Floor, Baltimore, MD 21224",3,70,9/30/2017,1
8/10/2017,236115,"Fibrwrap Construction Services, Inc.","709 East Ordnance Road, Baltimore, MD 21226",1,31,8/2017-12/2018,2
8/10/2017,323111,McArdle Printing Company,"800 Commerce Drive, Upper Marlboro, MD 20774",8,77,9/30/2017,1
8/17/2017,561720,"APTIM Services, LLC","Calvert Cliffs Nuclear Station,1560 Calvert Cliffs Pkwy, Lusby, MD 20657",9,36,8/18/2017,2
8/23/2017,561311,"Lutech Resources, Inc.","Calvert Cliffs Nuclear Station,1560 Calvert Cliffs Pkwy, Lusby, MD 20657",9,36,8/18/2017,2
8/28/2017,236118,Triumph Thermal Systems dba Triumph Electronics Control,"540 Highland Street, Frederick, MD 21701",4,96,12/2017-8/2018,1
11/13/2017,621511,"Charles River Laboratories, Inc.","8501 Progress Drive, Frederick, MD 21701",4,57,3/2018-8/2018,1
11/16/2017,452210,Lord & Taylor,"1600 Annapolis Mall Road, Annapolis, MD 21401",1,141,4/15/2018-4/28/2018,1
11/27/2017,522390,First Guaranty Mortgage Corporation,"5280 Corporate Drive, Suite B200,           Frederick, MD  21703",4,82,1/31/2018,2
11/27/2017,452210,The Bon-Ton Stores Inc.,"17301 Valley Mall Road, Hagerstown, MD 21740",12,47,2/22/2018,1
1/5/2016,541613,Acosta Sales & Marketing,"7455 New Ridge Road, Suite R, Hanover, MD 21076",1,7,2/29/2016,2
1/5/2016,541613,Acosta Sales & Marketing,"7455 New Ridge Road, Suite R, Hanover, MD 21076",1,93,2/27/2016,2
1/5/2016,562920,Sims Recycling Solutions,"7575 Washington Blvd, Elkridge, MD 21075",6,86,3/31/2016,1
1/15/2016,452112,Walmart,"2701 Port Covington Dr, Baltimore, MD 21230",3,196,4/15/2016,2
1/20/2016,424410,"C&S Wholesale Grocers, Inc.","100 Lums Road, North East, MD 21901",10,192,3/24/2016,1
2/19/2016,812930,Penn Parking,"9000 Rockville Pike, Bethesda, MD 20892",7,59,3/13/2016,2
2/29/2016,326112,"Graham Packaging Company, L.P.","210 Kane St, Baltimore, MD 21224",3,79,4/1/2016,1
3/9/2016,311615,"Allen Harim Foods, LLC","12041 Cordova Rd, Cordova, MD 21625",11,300,5/9/2016,1
3/30/2016,445110,Safeway,"13814 Outlet Drive, Silver Spring, MD 20904",7,25,5/30/2016,1
4/6/2016,424410,U.S. Foods,"8024 Telegraph Road, Severn, MD 21144",1,304,6/24/2016,1
4/26/2016,518210,Edaptive Systems,"400 Red Brook Blvd, Suite 120, Owings Mills, MD 21117",2,60,6/30/2016,2
4/27/2016,721110,Commune Hotels and Resorts,"612 Cathedral Street, Baltimore, MD 21201",3,49,6/30/2016,2
5/2/2016,541611,Aerospace Testing Alliance,"Tunnel 9 at Moffett Road, Silver Springs, MD 20904",7,23,6/30/2016,2
5/5/2016,445110,"Safeway, Inc","6300 Central Avenue, Seat Pleasant, MD 20743",8,94,7/2/2016,1
5/5/2016,445110,"Safeway, Inc","1902 Vier Mills Road, Rockville, MD 20851",7,70,7/2/2016,1
5/26/2016,518210,"Global Payments, Inc.","10705 Red Run Blvd, Owings Mills, MD 21117",2,334,7/30/2016,2
5/27/2016,44511003,"Mars Super Markets, Inc.","7200 Holabird Ave, Baltimore, MD 21222",2,84,7/31/2016,1
5/27/2016,44511003,"Mars Super Markets, Inc.","7848 Wise Ave Baltimore, MD 21222",2,119,7/31/2016,1
5/27/2016,44511003,"Mars Super Markets, Inc.","165 Orville Rd Baltimore, MD 21221",2,105,7/31/2016,1
5/27/2016,44511003,"Mars Super Markets, Inc.","9613 M Harford Rd Baltimore, MD 21234",2,104,7/31/2016,1
5/27/2016,44511003,"Mars Super Markets, Inc.","5-15 Padonia Rd Timonium, MD 21093",2,62,7/31/2016,1
5/27/2016,44511003,"Mars Super Markets, Inc.","9544 Philadelphia Rd Baltimore, MD 21237",2,52,7/31/2016,1
5/27/2016,44511003,"Mars Super Markets, Inc.","1811 York Road Timonium, MD 21093",2,78,7/31/2016,1
5/27/2016,44511003,"Mars Super Markets, Inc.","11953 Reisterstown Rd Reisterstown, MD 21136",2,72,7/31/2016,1
5/27/2016,44511003,"Mars Super Markets, Inc.","8667 Belair Rd Baltimore, MD 21236",2,75,7/31/2016,1
5/27/2016,44511003,"Mars Super Markets, Inc.","1401 Pulaski Hwy Edgewood, MD 21040",10,72,7/31/2016,1
5/27/2016,44511003,"Mars Super Markets, Inc.","1080 Maiden Choice Ln Arbutus, MD 21227",2,104,7/31/2016,1
5/27/2016,44511003,"Mars Super Markets, Inc.","9150 Baltimore National Pike, Ellicott City, MD  21042",6,70,7/31/2016,1
5/27/2016,44511003,"Mars Super Markets, Inc.","1700 E. Northern Pkwy Baltimore, MD 21239",3,75,7/31/2016,1
5/27/2016,44511003,MTC Facility,"8803 Kelso Drive  Essex, MD 21221",2,20,7/31/2016,1
5/27/2016,44511003,Main Office,"9627 Philadelphia Rd Baltimore, MD 21237",2,64,7/31/2016,1
6/23/2016,424410,U.S. Foods,"8024 Telegraph Road, Severn, MD 21144",1,147,6/24/2016,2
6/28/2016,326112,"The Hedwin Division of Zacros America, Inc.","1600 Roland Heights Ave, Baltimore, MD 21211",3,129,8/28/2016,1
8/22/2016,445110,"Safeway, Inc.","14100 Baltimore Ave, Laurel, MD 20707",8,75,10/22/2016,1
8/29/2016,561612,"SecTek, Inc.","8601 Adelphi Rd, College Park, MD 20740; and 
      700 Pennsylvania Ave, Washington, D.C. 20408",8,137,8/31/2016,2
8/31/2016,523920,American Capital,"2 Bethesda Metro Center, Bethesda, MD 20814",7,138,1/1/2017,2
9/1/2016,523140,"Finiti Title, LLC","7090 Samuel Morse Drive, Columbia, MD 21046",6,100,11/1/2016,1
9/20/2016,624310,"Adventist Healthcare, Inc.","821 Fieldcrest Rd, Cambridge, MD 21613",11,90,11/30/2016,2
9/28/2016,221114,"SunEdison, Inc.","7550 Wisconsin Ave, Bethesda, MD 20814",7,2,9/29/2016,2
9/28/2016,541613,"Harte Hanks Marketing, Inc.","4545 Annapolis Rd, Baltimore, MD 21227",2,112,11/18/2016,1
9/28/2016,561990,"Office Paper Systems, Inc.","7650 Airpark Road, Gaithersburg, MD 20879",7,29,9/9/2016,1
10/25/2016,624190,"Europ Assistance USA, Inc","4330 East-West Hwy, Bethesda, MD 20814",7,36,1/6/2017,2
10/25/2016,524113,Ameritas Insurance Company,"7315 Wisconsin Ave # 1000W, Bethesda, MD 20814",7,94,12/30/2016,2
11/4/2016,332722,"Simpson Strong-Tie, Inc.","3100 Falls Cliff Road, Baltimore, MD 21211",3,73,2/28/2017,1
11/11/2016,424420,Kraft Heinz Foods Company,"300 Reliance Ave, Federalsburg, MD 21632",11,73,1/13/2017,1
11/21/2016,54187,"Kenoc Logistic Services, LLC's","521 Chelsea Road, Aberdeen, MD 21001",10,115,1/22/2017,2
12/2/2016,524113,Transamerica Life Insurance Company,"100 Light St, Baltimore, MD 21202",3,25,2/3/2017,2
12/7/2016,561110,"CoreLogic, Inc.","7090 Samuel Morse Dr, Columbia, MD 21046",6,10,2/7/2017,2
12/13/2016,484122,The Kane Company,"6500 Kane Way, Elkridge, MD 21075",6,900,12/9/2016,1
1/7/2015,561499,"Market Day, LLC","8265 Patuxent Range Road, Ste L, Jessup, MD 20794",6,26,3/7/2015,2
1/9/2015,325412,"Actavis, Inc.","10065 Red Run Blvd, Owings Mills, MD 21117",2,33,3/9/2015,1
1/13/2015,541512,Ciena Corporation,"900 Elkridge Landing RD, Ste 120, Linthicum, MD 21090",1,57,5/29/2015,2
2/3/2015,488190,"DynCorp International, LLC","U.S.Navy's Fleet Readiness Center- Aviation Support Equipment, Solomons Complex, Bldg 105, B Ave, Solomons Island, MD 20688",9,121,3/4/2015,2
2/4/2015,443142,RadioShack Corporation,"100 Tandy Drive, Hagerstown, MD 21740",12,87,3/11/2015,1
3/27/2015,448110,Jos. A. Bank,"500 Hanover Pike, Hampstead, MD 21074",6,122,5/29/2015,2
4/8/2015,321211,AFP Logistics & Service,"2020 Washington Blvd, Baltimore, MD 21230",3,16,6/7/2015,2
4/8/2015,321211,"American Forest Products, LLC","1800 Washington Blvd, Ste 140, Baltimore, MD 21230",6,58,6/7/2015,2
4/21/2015,516110,"Riverbed Technology, Inc.","7255 Woodmont Ave, Bethesda, MD 20814",7,69,6/30/2015,2
4/28/2015,424410,Unilever,"3701 Southwestern Blvd, Baltimore, MD 21229",3,137,5/29/2015,1
5/6/2015,336411,Safran Labinal Power Systems,"600 Glen Ave, Salisbury, MD 21804",5,480,7/6/2015,1
5/22/2015,339910,Orion Safety Products,"28320 St. Michaels Road, Easton, MD 21601",11,54,8/28/2015,2
6/1/2015,523110,"T. Rowe Price Associates, Inc.","4515 Painters Mill Road, Owings Mills, MD 21117",2,211,7/31/2015,2
6/12/2015,541810,Prince George's County Gazette,"13501 Konterra Road, Laurel, MD 20707",8,15,8/11/2015,1
6/12/2015,541810,Montgomery County Gazette,"9030 Comprint Court, Gaithersburg, MD 20877",7,69,8/11/2015,1
6/25/2015,312140,"Diageo Americas Supply, Inc.","5001 Washington Blvd, Baltimore, MD 21227",2,64,8/31/2015,2
6/30/2015,518210,"Dunbar Armored, Inc.","4983 Mercantile Dr, White Marsh, MD 21236",2,100,8/24/2015,2
7/29/2015,452111,Kmart Corporation,"7923 Bel Air Rd,    Baltimore, MD 21236",2,102,11/1/2015,1
8/12/2015,445110,"Atlantic & Pacific Tea Company (c/o Superfresh Food Markets, Inc.)","3507 Coastal Hwy; and 12741 Ocean Gateway, Ocean City, MD 21842",5,157,11/12/2015,1
8/14/2015,518210,"ZeniMax Media, Inc.","101 Schilling Road, Hunt Valley, MD 21031",2,25,8/19/2015,2
8/31/2015,423840,"CROWN Cork and Seal USA, Inc.","8801 Citation Road, Baltimore, MD 21221",2,47,10/30/2015,1
9/1/2015,332999,Sonco Worldwide,"5000 Windom Rd, Bladensburg, MD 20710",8,100,10/31/2015,1
9/8/2015,444110,The Home Depot,"16500 Hunters Green Pkwy, Hagerstown, MD 21740",12,315,11/10/2015,2
9/9/2015,812930,Colonial Parking,"9000 Rockville Pike, Bethesda, MD 20892",7,60,10/14/2015,2
9/16/2015,521110,Branch Banking and Trust Corporation (BB&T),"13511 Label Lane, Hagerstown, MD 21470",12,126,10/9/2015,2
9/18/2015,622110,Dimensions Healthcare System,"Laurel Regional Hospital, 7300 Van Dusen Rd, Laurel, MD 20707",8,118,10/10/2015,2
10/6/2015,424410,"Collington Services, LLC","16020 Leeland Rd, Upper Marlboro, MD 20774; 6300 Columbia Park Rd, Landover, MD 20785",8,191,12/5/2015,1
