Notice Date,"NAICS
                                  Code",Company,Location,"WIA
                                  Code","Total
                                  Employees","Effective
                                  Date","Type
                                  Code"
4/4/2020,621111,"Medical Faculty Associates, Inc.","4920 Elm Street                    Bethesda, MD 20814",7,2,7/5/2020,1
4/4/2020,621111,Capital Digestive Care,"10801 Lockwood Drive                     #200                                          Silver Spring, MD 20901",7,83,3/30/2020,2
4/6/2020,531110,"Meta Coastal, LLC","5200-B Coastal Highway             Ocean City, MD 21842",5,7,3/20/2020,2
4/6/2020,531110,"Meta Coastal, LLC","16 N. Washington Street               Suite 102                                                        Easton, MD 21601",11,4,3/20/2020,2
4/6/2020,561720,"Meta Coastal, LLC","350 N. Washington Street                      Easton, MD 21601",11,2,3/20/2020,2
4/6/2020,531311,"Meta Coastal, LLC","12815 Coastal Highway                   Unit #104                        Ocean City, MD 21842",5,9,3/20/2020,2
4/6/2020,721110,"Meta Coastal, LLC","19638 Garrett Highway             Oakland, MD 21150",12,8,3/20/2020,2
4/6/2020,541219,"Meta Coastal, LLC","1404 Crain Highway South      Suite 101                                    Glen Burnie, MD 21061",1,42,3/20/2020,2
4/6/2020,448310,The Silver Heron,"The Mall at Columbia         10300 Little Patuxent Parkway Columbia, MD 21044",6,4,4/4/2020,2
4/6/2020,448310,Pandora,"St. Charles Towne Center            11110 Mall Circle                   Waldorf, MD 20603",9,10,4/4/2020,2
4/6/2020,448310,Pandora,"The Mall at Columbia         10300 Little Patuxent Parkway Columbia, MD 21044",6,17,4/4/2020,2
4/6/2020,448310,Pandora,"The Gallery at Harborplace                300 East Pratt Street                  Baltimore, MD 21202",3,7,4/4/2020,2
4/8/2020,448120,RTW Retailwinds                                                            d/b/a Fashion to Figure,"Bowie Town Center                15402-B Emerald Way              Space 19A                         Bowie, MD 20716",8,8,3/29/2020,2
4/8/2020,448120,RTW Retailwinds                                                            d/b/a Fashion to Figure,"Westview Mall                           5816 Baltimore National Pike          Catonsville, MD 21228",2,10,3/29/2020,2
4/8/2020,448120,RTW Retailwinds                                                            d/b/a Fashion to Figure,"3317 Rosary Court                    Abingdon, MD 21009",10,1,3/29/2020,2
