Company,City,AffectedWorkers,NoticeRcvd,NoticeType,LayoffBeginDate,NAICSDescription,County,WDA
Bartaco,Madison,67,20200402,CL,03/21/2020,Full-service restaurants,Dane,South Central
"Chandler Exhibits, Inc.",Hudson,34,20200402,CL,03/25/2020,Other Specialized Design Services,St. Croix,West Central
Bernick's,"Dresser, Superior",25,20200403,WR,04/01/2020,Other Grocery Product Merch Whls,"Polk, Douglas","West Central, Northwest"
Caleres Inc,Port Washington,213,20200403,CL,03/20/2020,Footwear Merch Whls,Ozaukee,WOW
Caleres/Woodlore Manufacturing,Port Washington,28,20200403,CL,03/20/2020,Misc Wood Product Mfg,Ozaukee,WOW
Gray & Associates,New Berlin,28,20200403,CL,04/03/2020,Offices of Lawyers,Waukesha,WOW
La Crosse Area Family YMCA  ,"La Crosse, Onalaska",562,20200403,WR,03/18/2020,Civic & Social Organizations,La Crosse,Western
eImprovement LLC,Pleasant Prairie,60,20200403,CL,04/30/2020,Electronic Shopping and Mail-Order Houses,Kenosha,Southeast
PC/Nametag Inc.,Verona,46,20200403,WR,04/06/2020,Electronic Shopping and Mail-Order Houses,Dane,South Central
Spectra Food Services and Hospitality,Baraboo,172,20200406,CL,03/26/2020,Food Service Contractors,Sauk,South Central
Chapter 2 Inc.,Lake Mills,26,20200406,WR,04/03/2020,Special Tool Die Jig & Fixture Mfg,Jefferson,South Central
"Van's Supply & Equipment, Inc.",Green Bay,37,20200406,WR,03/29/2020,New Car Dealers,Brown,Bay Area
YMCA of Greater Waukesha County,"Waukesha, Menomonee Falls, Greenfield, Wauwatosa, New Berlin, Mukwonago",1100,20200406,CL,03/17/2020,Civic & Social Organizations,"Waukesha, Milwaukee","WOW, Milwaukee"
YMCA of Dodge County,Beaver Dam,89,20200406,WR,03/16/2020,Civic & Social Organizations,Dodge,South Central
Uncle Julio's,Brookfield,93,20200406,CL,03/19/2020,Full-service restaurants,Waukesha,WOW
Woodson YMCA,Wausau,300,20200406,CL,03/17/2020,Fitness & Recreational Sports Centers,Marathon,North Central
Geneva Lakes Family YMCA,Lake Geneva,117,20200406,WR,03/17/2020,Civic & Social Organizations,Walworth,Southeast
"Hobby Lobby Stores, Inc.","Appleton, Brookfield, Eau Claire, Franklin, Green Bay, Janesville, Kenosha, Madison, Manitowoc, Menomonee Falls, Monona, Onalaska, Oshkosh, Racine, Rhinelander, Rice Lake, Waukesha, Wausau, Wauwatosa, West Allis, West Bend",639,20200406,CL,03/25/2020,Hobby Toy & Game Stores,"Barron, Brown, Dane, Eau Claire, Kenosha, La Crosse, Manitowoc, Marathon, Milwaukee, Oneida, Outagamie, Racine, Rock, Washington, Winnebago","Bay Area, Fox Valley, Milwaukee, North Central, South Central, Southeast, Southwest, Waukesha-Ozaukee-Washington, West Central, Western"
Greater Green Bay YMCA,"Green Bay, Brussels, Suring",829,20200406,WR,03/15/2020,Civic & Social Organizations,"Brown, Oconto, Door",Bay Area
Manitowoc-Two Rivers YMCA,Manitowoc,219,20200407,CL,04/06/2020,Civic & Social Organizations,Manitowoc,Bay Area
Advanced Pain Management,Greenfield,50,20200407,WR,05/01/2020,Offices of Physicians exc Mental Health,Milwaukee,Milwaukee,Y
Pace Industries,Grafton,381,20200408,WR,03/20/2020,Aluminum Die Casting Foundries,Ozaukee,Waukesha-Ozaukee-Washington
YMCA of the Chippewa Valley,"Chippewa Falls, Eau Claire, New Auburn",557,20200407,CL,03/19/2020,Civic & Social Organizations,"Chippewa, Eau Claire",West Central
Abercrombie & Fitch,"Appleton, La Crosse, Wauwatosa",123,20200408,CL,04/12/2020,Family Clothing Stores,"La Crosse, Milwaukee, Outagamie","Bay Area, Milwaukee, Western"
Prospect International Airport Services Corp.,Milwaukee,48,20200408,WR,04/22/2020,Other Airport Operations,Milwaukee,Milwaukee
Tetra PAK Processing Equipment Inc.,Windsor,39,20200409,CL,07/03/2020,Food Product Machinery Mfg,Dane,South Central
Meetings and Incentives Worldwide Inc,Caledonia,15,20200409,WR,03/05/2020,Convention &amp; Trade Show Organizers,Racine,Southeast
Server Products Inc,Richfield,53,20200409,WR,03/30/2020,Other Com &amp; Service Ind Machinery Mfg,Washington,Waukesha-Ozaukee-Washington
American Greetings,Statewide,153,20200408,WR,03/23/2020,All Other Support Services,Statewide,Statewide
Glacial Community YMCA,"Oconomowoc, Watertown",542,20200409,WR,03/16/2020,Civic &amp; Social Organizations,"Waukesha, Dodge","Waukesha-Ozaukee-Washington, South Central"
Patientpop,Menasha,1,20200410,WR,03/27/2020,Marketing Consulting Services,Winnebago,Fox Valley
"Hooters of America, LLC","Madison, Brookfield",61,20200410,WR,03/16/2020,Full-service restaurants,"Dane, Waukesha","South Central, Waukesha-Ozaukee-Washington"
Scholastic,Milwaukee,53,20200413,WR,03/18/2020,Book &amp Periodical Merch Whls,Milwaukee,Milwaukee
