Closing or Layoff,Initial Report Date,Planned Starting Date,Company,City,Planned # Affected Employees
Closing *,01/05/2016,01/05/2016,"JESSE CREEK MINING, LLC",Alabaster,170
Closing *,01/15/2016,02/10/2016,SOUTHEASTERN GROCERS,,63
Layoff *,08/19/2016,10/19/2016,BAE SYSTEMS,Mobile,200
Layoff *,06/27/2016,07/29/2016,"TALASCEND SL, LLC.",Mobile,150
Closing *,11/14/2016,01/22/2017,ADVANCE CENTRAL SERVICES - SOUTHEAST,Birmingham,89
Layoff *,06/02/2016,08/01/2016,AMSTED RAIL CO.,Bessemer,155
Layoff *,06/10/2016,08/05/2016,INFINITY INSURANCE COMPANY,Birmingham,96
Closing *,05/06/2016,07/05/2016,GREDE CASTING INTEGRITY,Bessemer,177
Closing *,03/04/2016,02/28/2016,ATHEROTECH DIAGNOSTIC LAB,Homewood,300
Closing *,01/19/2016,04/15/2016,WALMART - STORE #763,Fairfield,264
Closing *,08/05/2015,10/10/2015,NORTH AMERICAN COAL CORPORATION,Jasper,118
Layoff *,07/31/2015,09/30/2015,WALTER ENERGY/JIM WALTER RESOURCES - MINE #4,Brookwood,545
Closing *,07/28/2015,09/25/2015,"CROWN, COLUMN & MILLWORK COMPANY, LLC.",Attalla,90
Layoff *,06/08/2015,08/02/2015,"SHAW INDUSTRIES GROUP, INC. (PLANT 14)",Valley Head,160
Closing *,03/23/2015,04/20/2015,"T W  FITTING N.A., LLC",Vance,58
Layoff *,03/13/2015,03/13/2015,"WALTER ENERGY, INC./JIM WALTER RESOURCES-MINE #7",Brookwood,196
Closing *,02/04/2015,03/13/2015,EARTHLINK,Arab,42
Layoff *,01/23/2015,03/20/2015,JMC STEEL GROUP  - ENERGEX,Thomasville,260
Closing *,01/19/2015,03/23/2015,KENNAMETAL,Grant,93
Layoff *,01/14/2015,03/31/2015,EARTHLINK,Anniston,68
Closing *,01/07/2015,03/07/2015,CINRAM GROUP (FORMERLY JVC),Tuscaloosa,100
Closing *,11/06/2015,02/01/2016,GLOBE METALLURGICAL,Selma,90
Layoff *,12/07/2015,01/31/2016,DYNETICS TECHNICAL SERVICES,Marshall Center,339
Layoff *,12/07/2015,02/21/2016,FRAS-LE NORTH AMERICA,Prattville,50
