Closing or Layoff,Initial Report Date,Planned Starting Date,Company,City,Planned # Affected Employees
Layoff *,10/20/2009,12/14/2009,COOPER HOSIERY MILLS,Fort Payne,51
Closing *,08/05/2009,10/02/2009,CARLISLE TIRE AND WHEEL COMPANY,Heflin,50
Layoff *,10/07/2009,11/28/2009,ARAMARK HEALTHCARE SUPPORT SERVICES,Huntsville,163
Layoff *,09/21/2009,09/28/2009,"ABITIBI BOWATER INC., COOSA PINES OPERATIONS",Coosa Pines,90
Closing *,09/18/2009,11/15/2009,"ABITIBIBOWATER, INC.",Albertville,86
Closing *,09/10/2009,10/01/2009,"MOORE-HANDLEY, INC.",Pelham,200
Closing *,09/09/2009,02/01/2009,MORGAN RESEARCH CORPORATION,Huntsville,135
Closing *,08/31/2009,10/30/2009,"CONTINENTAL AUTOMOTIVE SYSTEMS US, INC.",Huntsville,1281
Layoff *,08/20/2009,10/16/2009,"TELEDYNE BROWN ENGINEERING, INC.",Tanner,140
Layoff *,08/17/2009,10/13/2009,"REGAL EMPLOYMENT, INC.",Hartselle,104
Closing *,02/09/2009,04/20/2009,CARGILL,Decatur,107
Layoff *,01/28/2009,12/01/2008,"FAIRFIELD SOUTHERN COMPANY, INC.",Fairfield,12
Closing *,02/06/2009,02/05/2009,WEYERHAEUSER CORP.,Pine Hill,300
Layoff *,02/05/2009,04/06/2009,ELWOOD STAFFING/NEW SOUTH EXPRESS,Lincoln,86
Closing *,02/03/2009,03/31/2009,BASF CORPORATION,Decatur,115
Layoff *,01/26/2009,03/27/2009,ELWOOD STAFFING/HONDA PLANT,Lincoln,706
Closing *,01/22/2009,03/21/2009,NORBORD,Lanett,127
Closing *,01/16/2009,01/31/2009,CUMMINGS SIGNS INC.,Fort Deposit,51
Layoff *,08/17/2009,10/14/2009,CR COMPRESSORS LLC,Hartselle,186
Closing *,08/06/2009,10/01/2009,"VANITY FAIR BRANDS, ADMIN.",Monroeville,61
Layoff *,08/06/2009,09/30/2009,"RUSSELL CORP., ADMIN. & CORPORATE",Alexander City,218
Layoff *,07/17/2009,09/15/2009,WINSTON FURNITURE COMPANY,Haleyville,108
Closing *,07/24/2009,09/22/2009,PILGRIM'S PRIDE,Athens,640
Layoff *,07/17/2009,09/13/2009,NORFOLK SOUTHERN CORPORATION,Muscle Shoals,64
Layoff *,07/14/2009,09/22/2009,"TELEDYNE BROWN ENGINEERING, INC.",Huntsville,78
Closing *,06/16/2009,06/15/2009,"CHAPMAN FOREST PRODUCTS, INC.",Chapman,263
Closing *,06/11/2009,10/11/2009,KMART CORPORATION STORE #7362,Rainbow City,71
Closing *,06/04/2009,07/15/2009,"WOODLAND (CULLMAN COUNTY MEDICAL CLINIC, INC.)",Cullman,150
Closing *,05/28/2009,07/31/2009,TATE & LYLE SUCRALOSE LLC,McIntosh,126
Closing *,05/20/2009,10/30/2009,HAGER COMPANIES,Oxford,93
Closing *,12/09/2009,05/01/2010,"NEW ERA CAP, DISTRIBUTION CENTER",Mobile,60
Closing *,03/16/2009,05/17/2009,BRUNO'S,Mobile,110
Closing *,03/16/2009,05/17/2009,BRUNO'S,Mobile,77
Closing *,05/22/2009,07/20/2009,PACE INDUSTRIES,Auburn,147
Closing *,03/16/2009,05/17/2009,BRUNO'S,Mobile,58
Closing *,03/16/2009,05/17/2009,FOOD WORLD,Mobile,55
Closing *,03/16/2009,05/17/2009,FOOD WORLD,Mobile,55
Closing *,03/16/2009,05/17/2009,FOOD WORLD,Mobile,47
Closing *,03/16/2009,05/17/2009,FOOD WORLD,Mobile,52
Closing *,03/16/2009,05/17/2009,FOOD WORLD,Mobile,48
Closing *,03/16/2009,05/17/2009,FOOD WORLD,Theodore,30
Closing *,03/16/2009,05/17/2009,FOOD WORLD,Saraland,30
Closing *,03/11/2009,05/08/2009,"ARMSTRONG WORLD INDUSTRIES, INC.  (3)",Mobile,172
Closing *,03/09/2009,05/31/2009,SEARS HOLDINGS,Saraland,74
Closing *,05/20/2009,07/14/2009,VANITY FAIR BRANDS-KNITTING FACILITY,Jackson,69
Closing *,05/19/2009,07/14/2009,VANITY FAIR BRANDS-DYE/FINISH FACILITY,Monroeville,141
Closing *,05/11/2009,11/06/2009,ACCELLENT,Huntsville,78
Closing *,05/07/2009,06/26/2009,RIGID BUILDING SYSTEMS,Gadsden,73
Layoff *,08/25/2009,07/27/2009,HARBISON-WALKER REFRACTORIES COMPANY,Fairfield,74
Layoff *,07/29/2009,11/13/2009,ASSURANT EMPLOYEE BENEFITS,Birmingham,92
Layoff *,07/10/2009,09/08/2009,UNITED RETAIL SERVICE (URS),Birmingham,16
Layoff *,06/29/2009,05/30/2009,"SUN MICROSYSTEMS, INC.",Birmingham,12
Closing *,05/08/2009,05/19/2009,UNITED STATES STEEL CORPORATION,Fairfield,1711
Layoff *,04/16/2009,12/01/2008,FLEX-N-GATE-ALABAMA,McCalla,46
Closing *,04/15/2009,04/09/2009,CLIFF'S NATURAL RESOUCES INC. - OAK GROVE MINE,Adger,47
Closing *,03/16/2009,05/17/2009,FOOD WORLD,McCalla,74
Closing *,04/13/2009,07/01/2009,RUSSELL CORP. (WOVEN FABRICS PLANT),Alexander City,252
Closing *,03/16/2009,05/17/2009,FOOD WORLD,Trussville,42
Closing *,03/16/2009,05/17/2009,FOOD WORLD,Birmingham,42
Closing *,03/16/2009,05/17/2009,FOOD WORLD,Hueytown,60
Closing *,03/16/2009,05/17/2009,FOOD WORLD,Birmingham,40
Closing *,03/16/2009,05/17/2009,BRUNO'S SUPERMARKETS,Birmingham,87
Closing *,03/16/2009,05/17/2009,BRUNO'S SUPERMARKETS,Hoover,70
Closing *,03/16/2009,05/17/2009,BRUNO'S SUPERMARKETS,Birmingham,60
Closing *,03/16/2009,05/17/2009,BRUNO'S SUPERMARKETS,Birmingham,89
Closing *,03/16/2009,05/17/2009,BRUNO'S SUPERMARKETS,Hoover,106
Closing *,03/16/2009,05/17/2009,BRUNO'S SUPERMARKETS,Birmingham,73
Layoff *,04/10/2009,04/30/2009,SCIENCE APPLICATIONS INTERNATIONAL CORP.,Anniston,90
Closing *,03/16/2009,05/17/2009,FOOD WORLD,Gardendale,48
Closing *,03/16/2009,05/17/2009,FOOD WORLD,Dora,47
Closing *,04/01/2009,04/30/2009,ADVANCED FEDERAL SERVICES CORPORATION,Madison,69
Closing *,04/01/2009,06/05/2009,ALABAMA RIVER NEWSPRINT MILL,Perdue Hill,167
Layoff *,03/30/2009,03/31/2009,JACK HUGHSTON MEMORIAL HOSPITAL,Phenix City,80
Closing *,03/16/2009,05/17/2009,BRUNO'S SUPERMARKETS,Tuscaloosa,103
Closing *,03/16/2009,05/17/2009,BRUNO'S SUPERMARKETS,Alabaster,54
Closing *,03/16/2009,05/17/2009,BRUNO'S SUPERMARKETS,Tuscaloosa,106
Closing *,12/02/2008,11/21/2008,INTERNATIONAL CODE COUNCIL,Birmingham,6
Closing *,11/05/2008,01/23/2009,CERTAINTEED CORPORATION,Birmingham,50
Closing *,10/20/2008,10/20/2008,PHYSICIAN'S MEDICAL CENTER,Birmingham,1000
Layoff *,05/02/2008,07/01/2008,"BORAL BRICKS, INC.",Bessemer,39
Closing *,04/25/2008,06/27/2008,TELETECH,Fairfield,272
Closing *,04/24/2008,09/01/2008,CARDINAL HEALTH,Bessemer,100
Closing *,04/09/2008,06/15/2008,FIRST AMERICAN BANK,Birmingham,78
Closing *,02/05/2008,04/01/2008,SKYWEST AIRLINES,Birmingham,23
Layoff *,02/04/2008,04/01/2008,EDS,Birmingham,261
Closing *,09/25/2008,09/24/2008,"BILL HEARD CHEVROLET, INC.",Huntsville,158
Closing *,09/30/2008,11/14/2008,"ALTADIS USA, INC. (SELMA CIGAR FACTORY)",Selma,213
Closing *,09/10/2008,09/11/2008,BAE SYSTEMS (SECOND CHANCE BODY ARMOR),Geneva,194
Closing *,07/02/2008,04/30/2009,ADVANCED FEDERAL,Anniston,69
Closing *,06/17/2008,06/26/2008,FRONTIER YARNS-LAFAYETTE,Lafayette,129
Layoff *,01/22/2008,03/17/2008,KNAUF INSULATION,Lanett,75
Closing *,01/09/2008,02/15/2008,ALBANY INTERNATIONAL-APPLETON WIRE DIVISION,Montgomery,96
Layoff *,01/04/2008,03/04/2008,STANDARD FURNITURE MFG. CO.,Frisco City,192
Layoff *,06/12/2008,08/10/2008,"HERFF JONES, INC.",Montgomery,43
Layoff *,06/03/2008,06/10/2008,"RUSSELL CORP., COOSA RIVER TEXTILES",Wetumpka,550
Closing *,06/03/2008,08/19/2008,OCCIDENTAL CHEMICAL CORPORATION,Muscle Shoals,47
Closing *,05/29/2008,07/31/2008,SHAW INDUSTRIES,Stevenson,418
Closing *,11/12/2008,01/10/2009,"GEORGIA-PACIFIC CORP., MONROEVILLE",Peterman,319
Closing *,03/27/2008,06/01/2008,DILLARD'S,Tuscaloosa,130
Closing *,03/25/2008,05/23/2008,PERFORMANCE FIBERS,Winfield,93
Closing *,03/20/2008,05/18/2008,GEORGIA PACIFIC WOOD PRODUCTS-TALLADEGA,Talladega,380
Closing *,03/12/2008,05/17/2008,DELTA AIR LINES,Huntsville,183
Closing *,03/10/2008,05/05/2008,"WESTPOINT HOME, INC. FAIRFAX DISTRIBUTION CENTER",Valley,315
Closing *,12/15/2008,02/11/2009,"W.Y. SHUGART & SONS, INC.",Fort Payne,60
Closing *,12/12/2008,12/12/2008,"PATRIOT HOMES, INC. (AKA SOUTHRIDGE HOMES)",Hamilton,125
Closing *,12/12/2008,02/27/2009,GILDAN,Fort Payne,738
Layoff *,12/15/2008,02/11/2008,"W.Y. SHUGART & SONS, INC.",Fort Payne,60
Closing *,12/09/2008,02/07/2009,VERTIS COMMUNICATIONS INC.,Sylacauga,283
Layoff *,11/19/2008,01/20/2009,BERRY PLASTICS CORP. COVALENCE SPECIALTY ADHESIVES,Albertville,96
Closing *,11/14/2008,01/15/2009,UNITED INDUSTRIAL (SPECTRUM BRANDS),Sylacauga,107
Closing *,11/17/2008,01/12/2009,LOUISIANA-PACIFIC CORP.,Thomasville,129
Closing *,11/05/2008,03/20/2008,PINKERTON GOVERNMENT SERVICES,Athens,194
Closing *,10/14/2008,12/29/2008,"FPMI SOLUTIONS, INC.",Arab,89
Closing *,11/20/2008,12/01/2008,WEST FRASER-CITRONELLE LUMBER MILL,Citronelle,102
Closing *,12/28/2007,02/29/2008,"MEADOWCRAFT, INC.",Birmingham,246
Layoff *,09/25/2007,09/01/2007,"PEMCO AEROPLEX, INC.",Birmingham,300
Closing *,09/14/2007,09/28/2007,SPRING AIR COMPANY,Birmingham,67
Closing *,04/30/2007,06/29/2007,"T&WA OF BIRMINGHAM, LLC",Birmingham,51
Closing *,04/12/2007,05/14/2007,"ARAMARK MANAGEMENT SERVICES, LTD. PARTNERSHIP",Birmingham,232
Closing *,02/13/2007,02/19/2007,PLEASANT GROVE NURSING AND REHABILITATION CTR. LLC,Pleasant Grove,175
Closing *,04/24/2007,06/22/2007,KOCH FOODS OF ALABAMA-SYLACAUGA,Sylacauga,243
Closing *,04/19/2007,06/20/2007,WEHADKEE YARN MILLS,Talladega,85
Closing *,04/04/2007,06/04/2007,"TYSON FOODS, INC. (HEFLIN)",Heflin,21
Closing *,03/23/2007,10/01/2010,AC FABRICATED PRODUCTS (JACKSON),Jackson,65
Layoff *,03/22/2007,05/21/2007,"TYSON FOODS, INC. (GADSDEN)",Gadsden,400
Closing *,02/20/2007,03/31/2007,"SOUTHERN PRIDE CATFISH, LLC",Demopolis,150
Layoff *,03/13/2007,05/12/2007,TRIANA INDUSTRIES,Triana,150
Closing *,03/05/2007,04/13/2007,LP BUILDING PRODUCTS-SELMA,Selma,107
Closing *,03/01/2007,03/12/2007,"RUSSELL CORP., PLANT NO. 10",Alexander City,425
Closing *,02/23/2007,04/27/2007,PENDA DALEVILLE (TRI-GLAS INDUSTRIES),Daleville,70
Closing *,02/05/2007,04/01/2007,ALUTIIQ-WACKENHUT SECURITY SERVICES,Redstone Arsenal,99
Closing *,01/19/2007,03/24/2007,ELASTIC CORPORATION,Columbiana,233
Closing *,01/16/2007,03/14/2007,"WESTPOINT HOME, INC., TRANSPORTATION CENTER",Valley,60
Closing *,07/26/2007,09/24/2007,WESTPOINT HOME-LANIER PLANT,Valley,300
Closing *,05/08/2007,09/01/2007,"VANITY FAIR BRANDS, LP",Monroeville,210
Closing *,05/04/2007,06/29/2007,WESTPOINT HOME-FAIRFAX MILL,Valley,30
Closing *,07/27/2007,07/31/2007,WELLSTONE MILLS-PLANT 1,Eufaula,125
Closing *,07/17/2007,09/14/2007,"DELTA APPAREL, INC.",Fayette,109
Layoff *,06/01/2007,07/28/2007,SARA LEE BAKERY GROUP,Dothan,99
Closing *,12/19/2007,02/08/2008,DIXIE-PACIFIC MFG. COMPANY,Gadsden,172
Closing *,12/10/2007,02/07/2008,WESTPOINT HOME-FAIRFAX FINISHING PLANT,Valley,200
Closing *,12/10/2007,02/07/2008,WESTPOINT HOME-FAIRFAX FABRICATION PLANT,Valley,650
Closing *,12/10/2007,04/30/2008,SPRINGS GLOBAL,Piedmont,325
Closing *,11/20/2007,01/13/2007,PARKDALE MILLS,Rockford,100
Closing *,12/04/2007,12/04/2007,WELLSTONE MILLS-PLANT 2,Eufaula,117
Closing *,11/27/2007,01/31/2008,CHAMPION HOME BUILDERS (GATEWAY HOMES),Guin,196
Layoff *,11/15/2007,01/24/2008,HALDEX BRAKE PRODUCTS CORP.,Prattville,85
Closing *,10/30/2007,01/01/2008,GENERAL CASUALTY INSURANCE,Montgomery,87
Closing *,05/29/2007,07/27/2007,WESTPOINT HOME-ABBEVILLE,Abbeville,700
Closing *,11/08/2007,01/06/2008,"WOLVERINE TUBE, INC.",Decatur,464
Closing *,10/31/2007,12/03/2007,DELPHI STEERING SYSTEMS,Athens,1020
Closing *,05/29/2007,07/27/2007,WESTPOINT HOME-GRIFFTEX CHEMICAL PLANT,Opelika,13
Closing *,10/03/2007,12/03/2007,BEAULIEU OF AMERICA,Boaz,140
Closing *,05/29/2007,07/27/2007,WESTPOINT HOME-OPELIKA FINISHING PLANT,Opelika,350
Closing *,10/02/2007,11/29/2007,WESTPOINT HOME-CARTER PLANT,Valley,350
Closing *,08/28/2007,11/20/2007,CONTINENTAL EAGLE CORP.,Prattville,150
Layoff *,09/05/2007,06/01/2008,REGIONS FINANCIAL CORP.,Montgomery,625
Layoff *,08/31/2007,11/02/2007,WISE ALLOYS LLC,Muscle Shoals,301
Layoff *,10/01/2007,11/30/2007,GAF MATERIALS CORP.,Mobile,97
Layoff *,08/10/2007,10/06/2007,SMURFIT-STONE CONTAINER,Brewton,75
Closing *,05/08/2007,05/31/2007,SENTINEL CONSUMER PRODUCTS,Anniston,73
Layoff *,11/09/2006,01/31/2007,"SAKS, INC.",Birmingham,90
Closing *,11/06/2006,03/15/2007,PARISIAN CORPORATE HEADQUARTER (BELK #953),Birmingham,414
Closing *,10/26/2006,11/08/2006,SODEXHO HEALTH CARE SERVICE-D/B/A CARRAWAY MED CTR,Birmingham,132
Layoff *,10/05/2006,12/06/2006,"DRUMMOND COMPANY, INC.",Adger,475
Layoff *,08/29/2006,09/25/2006,"SOUTHERN FAMILY MARKETS, LLC",Birmingham,278
Layoff *,08/08/2006,10/06/2006,CARDINAL HEALTH,Birmingham,49
Closing *,11/17/2006,12/29/2006,"VESTA INSURANCE GROUP, INC.",Birmingham,74
Layoff *,07/26/2006,09/29/2006,FEDERAL RESERVE OF ATLANTA,Birmingham,54
Layoff *,05/10/2006,06/10/2006,HOUSING AUTHORITY OF THE BIRMINGHAM DISTRICT,Birmingham,143
Closing *,02/07/2006,04/23/2006,KRAFT FOODS,Hoover,61
Closing *,01/04/2006,03/31/2006,MCRAE'S,Birmingham,87
Closing *,12/06/2006,12/31/2006,JOHNS MANVILLE COMPANY,Phenix City,150
Closing *,12/07/2006,02/05/2007,"RENFRO-CHARLESTON HOSIERY, LLC",Fort Payne,174
Closing *,12/01/2006,03/15/2007,PARISIAN DISTRIBUTION CENTER-BELK #741,Steele,84
Closing *,11/20/2006,01/10/2007,"WAVERLEE HOMES, INC.",Tuscumbia,92
Closing *,11/02/2006,12/31/2006,IMPERIAL MANUFACTURING,Montgomery,30
Closing *,11/01/2006,12/31/2006,SCHNEIDER NATIONAL CARRIERS,Evergreen,52
Layoff *,10/25/2006,12/22/2006,"SHAW INDUSTRIES GROUP, INC.",Stevenson,236
Closing *,10/25/2006,12/24/2006,"THE ALAN WHITE COMPANY, INC.",Sulligent,124
Closing *,10/16/2006,12/06/2006,"CREATIVE ENGINEERED POLYMER PRODUCTS, LLC.",Tuscaloosa,145
Closing *,10/04/2006,12/29/2006,PERFORMANCE FIBERS,Scottsboro,139
Closing *,09/22/2006,10/31/2006,"LEAR SIEGLER SERVICES, INC.",Fort Rucker,421
Layoff *,09/15/2006,11/15/2006,ALATECH HEALTHCARE PRODUCTS,Eufaula,50
Layoff *,09/15/2006,11/15/2006,ALATECH HEALTHCARE PRODUCTS,Slocomb,100
Closing *,09/07/2006,10/31/2006,AC FABRICATED PRODUCTS-CHATOM,Chatom,146
Closing *,09/05/2006,11/04/2006,WESTPOINT HOME-LANETT,Lanett,370
Closing *,09/05/2006,11/04/2006,WESTPOINT HOME-OPELIKA,Opelika,325
Closing *,07/11/2006,07/01/2009,"BF GOODRICH TIRE MFG., OPELIKA",Opelika,1350
Closing *,07/05/2006,11/30/2006,ACE PRODUCTS,Lineville,102
Closing *,06/30/2006,08/29/2006,PALM HARBOR HOMES,Boaz,215
Closing *,06/16/2006,05/24/2006,INDIES HOUSE,Hackleburg,356
Layoff *,03/08/2006,08/18/2006,COOPER HAND TOOLS,Cullman,52
Closing *,06/12/2006,09/01/2006,"DELTA AIRLINES, INC.",Montgomery,150
Layoff *,06/06/2006,06/09/2006,NORTHROP GRUMMAN CORPORATION,Redstone Arsenal,97
Closing *,06/02/2006,05/09/2008,JOHNSON CONTROLS,Montgomery,213
Closing *,05/22/2006,07/25/2006,"AVONDALE MILLS INC., PELL CITY",Pell City,255
Closing *,05/22/2006,07/25/2006,"AVONDALE MILLS, INC., SYLACAUGA",Sylacauga,1023
Closing *,03/28/2006,05/26/2006,"WESTPOINT HOME, INC.",Columbia,110
Closing *,03/07/2006,04/17/2006,PHILLIPS-VAN HEUSEN,Ozark,538
Closing *,02/22/2006,03/22/2009,GLOBE METALLURGICAL INC.,Selma,60
Layoff *,03/02/2006,04/23/2006,"3D LABS, INC.",Madison,84
Closing *,02/10/2006,04/06/2006,AC FABRICATED PRODUCTS,Silas,50
Layoff *,01/24/2006,01/12/2007,DESOTO MILLS (RUSSELL CORPORATION),Fort Payne,220
Layoff *,01/24/2006,03/01/2010,DESOTO MILLS (RUSSELL CORPORATION),Fort Payne,104
Closing *,01/25/2006,05/16/2008,MASONITE INTERNATIONAL CORP.,Mobile,260
Layoff *,12/05/2005,01/31/2006,ACCENTURE LLP,Hoover,125
Layoff *,11/30/2005,01/31/2006,ACCENTURE LLP,Birmingham,54
Closing *,06/21/2005,08/20/2005,"WINN DIXIE FOODS, INC. STORE NO. 532",Vestavia Hills,75
Closing *,05/12/2005,05/05/2005,"SERVICE TRANSPORT, INC.",Birmingham,26
Closing *,03/24/2005,05/25/2005,DEL MONTE FOODS,Birmingham,80
Closing *,03/21/2005,04/30/2005,HEALTHSOUTH CORPORATION,Birmingham,111
Layoff *,01/31/2005,03/31/2005,FEDERAL RESERVE BANK OF ATLANTA-BIRMINGHAM BRANCH,Birmingham,70
Closing *,01/26/2005,03/15/2005,PARISIAN,Fairfield,87
Layoff *,08/01/2005,10/01/2005,"JOHNSTON TEXTILES, INC.",Phenix City,170
Closing *,06/21/2005,08/20/2005,"WINN DIXIE FOODS, INC. STORE NO. 0519",Greenville,70
Closing *,06/21/2005,08/20/2005,"WINN DIXIE FOODS, INC. STORE NO. 0529",Alabaster,75
Closing *,06/21/2005,08/20/2005,"WINN DIXIEFOODS, INC. STORE NO. 1914",Madison,89
Closing *,06/21/2005,09/16/2005,WINN DIXIE GROCERY DISTRIBUTION CENTER,Montgomery,154
Closing *,05/23/2005,06/03/2005,"SWEET SUE KITCHENS, INC.",Athens,161
Closing *,05/12/2005,05/05/2005,"SERVICE TRANSPORT, INC.",Montgomery,15
Closing *,05/12/2005,05/05/2005,"SERVICE TRANSPORT, INC.",Decatur,25
Layoff *,04/29/2005,06/26/2005,GULF STATES PAPER CORPORATION,Tuscaloosa,80
Closing *,03/24/2005,03/24/2005,CONAGRA FOODS,Montgomery,365
Layoff *,12/13/2005,01/29/2006,RUSSELL CORP. (ALEX CITY),Alexander City,747
Closing *,12/13/2005,01/29/2006,RUSSELL CORP. (PLANT #7-BLEACHERY),Alexander City,180
Closing *,12/08/2005,02/13/2006,"WRIGHT-K TECHNOLOGY, INC.",Madison,150
Layoff *,11/15/2005,11/22/2006,CITATION-SOUTHERN ALUMINUM,Bay Minette,124
Closing *,11/01/2005,12/30/2005,"WESTPOINT HOME, INC. (FAIRVIEW PLANT)",Valley,285
Closing *,10/06/2005,12/02/2005,HEALTHSOUTH,Pelham,70
Closing *,10/06/2005,12/05/2005,CARGILL,Decatur,106
Layoff *,09/27/2005,12/15/2008,"BAE SYSTEMS, 10TH ST. FORGE FACILITY",Anniston,222
Closing *,09/14/2005,03/31/2006,COMMSCOPE,Scottsboro,180
Layoff *,09/19/2005,11/15/2005,"GETRONICS ENTERPRISE MANAGED SEVICES, LLC",Hartselle,5
Closing *,09/16/2005,11/14/2005,NATIONAL LINEN AND UNIFORM SERVICE,Montgomery,102
Layoff *,09/06/2005,11/05/2005,"KAPPLER, INC.",Guntersville,169
Closing *,08/19/2005,09/02/2005,"WINN DIXIE FOODS, INC.",Florence,76
Layoff *,02/15/2005,04/15/2005,"MUNDY MAINTENANCE AND SERVICES, LLC",Decatur,224
Layoff *,02/14/2005,04/15/2005,SOLUTIA,Decatur,208
Closing *,02/07/2005,02/07/2005,TEE JAYS,Florence,220
Closing *,02/02/2005,09/30/2005,"THE BRIDGE, INC., EUFAULA YOUTH CENTER",Clayton,91
Closing *,08/24/2005,09/19/2005,"FISHKING PROCESSORS, INC.",Bayou La Batre,90
Closing *,01/26/2005,01/31/2005,PARISIAN,Birmingham,102
Closing *,01/21/2005,03/08/2005,"SIEMANS LOGISTICS AND ASSEMBLY SYSTEMS, INC.",Birmingham,83
Layoff *,01/11/2005,03/11/2005,"BRUNO'S SUPERMARKETS, INC.",Birmingham,175
Closing *,01/07/2005,01/23/2005,"FUJICOLOR PROCESSING, INC.",Birmingham,89
Closing *,01/20/2004,03/16/2004,RICH'S-MACY'S CENTURY PLAZA STORE,Birmingham,75
Closing *,11/24/2004,01/30/2005,WACHOVIA CORPORATION,Montgomery,50
Closing *,12/29/2004,01/03/2005,CHAMPION HOMES OF BOAZ (CHANDELEUR HOMES),Boaz,180
Closing *,12/03/2004,12/31/2004,"THE BRIDGE, INC.",Decatur,3
Closing *,10/12/2004,12/30/2004,"MEDLINE INDUSTRIES, INC.",Monroeville,134
Closing *,10/05/2004,01/01/2005,BERWICK OFFRAY,Anniston,89
Closing *,10/02/2004,12/04/2004,DOZIER MANUFACTURING,Dozier,130
Closing *,08/20/2004,10/18/2004,WEST TELEMARKETING CORPORATION,Huntsville,1081
Closing *,08/20/2004,09/30/2004,"THE BRIDGE, INC. (HANDS HOME)",Decatur,11
Closing *,07/28/2004,10/22/2004,AMERISOURCEBERGEN,Montgomery,60
Closing *,04/28/2004,09/30/2004,"REGIONS FINANCIAL CORP., MORTGAGE DEPT.",Montgomery,341
Layoff *,07/19/2004,09/16/2004,WAL-MART CHECK COLLECTION CENTER,Tuscaloosa,87
Closing *,07/09/2004,09/07/2004,WEST CORPORATION,Dothan,200
Closing *,07/07/2004,09/30/2004,UNION PLANTERS BANK,Montgomery,74
Closing *,06/30/2004,06/30/2004,EMPIRE COKE COMPANY,Holt,141
Closing *,06/25/2004,06/29/2004,"USA HEALTHCARE, INC.",Cullman,700
Closing *,05/19/2004,07/17/2004,ROYAL HARVEST FOODS,Marion,95
Closing *,04/27/2004,05/07/2004,WEHADKEE YARN MILLS-ROCK MILLS DIVISION,Roanoke,45
Closing *,04/08/2004,10/15/2004,"DESIGNER CHECKS, INC.",Anniston,182
Closing *,04/01/2004,06/01/2004,MONESSEN HEARTH SYSTEMS,Athens,63
Layoff *,03/29/2004,05/28/2004,M&H VALVE COMPANY,Anniston,64
Layoff *,03/19/2004,05/17/2004,DELPHI PACKARD,Gadsden,118
Closing *,03/01/2004,04/30/2004,"USA HEALTHCARE, LLC",Cullman,700
Closing *,02/20/2004,04/30/2004,VERIZON WIRELESS,Dothan,50
Closing *,02/17/2004,04/30/2004,WERNER COMPANY,Anniston,530
Closing *,02/05/2004,12/02/2004,"JIM WALTER RESOURCES, INC.",Brookwood,320
Closing *,01/16/2004,03/15/2004,ADVANCE AUTO PARTS DISTRIBUTION CENTER,Gadsden,140
Closing *,01/13/2004,02/23/2004,AAA PLUMBING POTTERY CO.,Attalla,226
Closing *,01/09/2004,07/16/2004,WESTPOINT STEVENS (FAIRFAX GREIGE PLANT),Valley,300
Closing *,11/04/2004,03/15/2005,BREDERO SHAW,Theodore,220
Closing *,10/01/2004,12/03/2004,AMERISOURCE BERGEN CORPORATION,Mobile,46
Closing *,02/20/2004,03/31/2004,"SYNGENTA CROP PROTECTION, INC.",Bucks,160
Closing *,11/24/2004,11/01/2004,WACHOVIA CORPORATION,Birmingham,1714
Closing *,09/30/2004,11/12/2004,"CENTRAL LAUNDRY SERVICES (SODEXHO, INC.)",Birmingham,63
Layoff *,09/08/2004,12/06/2004,ELECTRONIC DATA SYSTEMS,Birmingham,24
Closing *,07/30/2004,08/08/2004,WILLIAMS BRIDGE COMPANY,Bessemer,39
Closing *,07/02/2004,09/02/2004,HEALTHSOUTH METRO WEST HOSPITAL,Fairfield,506
Closing *,10/14/2003,12/05/2003,TENET PATIENT FINANCIAL SERVICES-BROOKWOOD MEDICAL,Birmingham,50
Closing *,09/12/2003,11/10/2003,DAYTON SUPERIOR MANUFACTURING,Birmingham,150
Closing *,09/08/2003,11/03/2003,"CONSTAR, INC.",Birmingham,48
Closing *,09/03/2003,11/02/2003,"GOLD KIST, INC.",Trussville,490
Closing *,05/12/2003,07/08/2003,COPPERWELD (AKA LTV COPPERWELD),Birmingham,54
Closing *,03/28/2003,06/02/2003,OVATIONS (A UNITEDHEALTH GROUP COMPANY),Birmingham,74
Closing *,01/31/2003,04/01/2003,BAKE-LINE GROUP,Birmingham,139
Closing *,01/16/2003,03/17/2003,CLARKE AMERICAN,Birmingham,71
Closing *,09/29/2003,11/30/2003,DYNCORP TECHNICAL SERVICES,Daleville,3157
Closing *,10/07/2003,12/05/2003,"GOODYEAR DUNLOP TIRE NA, LTD.",Huntsville,1160
Closing *,09/12/2003,09/26/2003,SARA LEE BAKERY GROUP,Fort Payne,800
Closing *,09/15/2003,11/11/2003,"DANA CORP.,  SPICER TRAILER PRODUCTS",Montgomery,98
Closing *,08/26/2003,09/30/2003,BECHTEL POWER CORPORATION,Decatur,686
Closing *,08/01/2003,09/29/2003,CROWNTUFT,Heflin,53
Closing *,07/30/2003,07/31/2003,PILLOWTEX CORPORATION,Phenix City,216
Closing *,07/30/2003,07/30/2003,"PILLOWTEX, INC.",Scottsboro,265
Closing *,07/22/2003,09/21/2003,"BEMIS COMPANY, INC.",Prattville,85
Layoff *,06/27/2003,09/01/2003,WESTPOINT STEVENS,Greenville,65
Closing *,06/19/2003,08/29/2003,UAW/DAIMLER CHRYSLER CHILD DEVELOPMENT,Huntsville,56
Closing *,12/18/2003,02/16/2004,"DILLARD'S INC., MONTGOMERY MALL",Montgomery,165
Layoff *,12/17/2003,12/31/2003,"NEW TECHNOLOGY, INC.",Huntsville,94
