Employer,City,Zip,LWIB Area,Notice Date
1-800-flowers.com,Ardmore,73401,08,07/02/2008
21C Museum Hotel,Oklahoma City,73106,66,05/22/2020
3M,Ardmore,73401,08,06/16/2010
AAA Club Partners,Oklahoma City,73134,05,09/04/2013
"ACH Food Companies, Inc.",Oklahoma City,73108,05,06/04/2004
Adams-Hardfacing Co.,Guymon,73952,01,10/20/2000
ADFITECH,Edmond,73013,05,10/18/2013
Aearo Technologies,Chickasha,73111,06,12/15/2008
AG Equipment Company,Broken Arrow,74012,12,07/15/2016
Air Systems Components,Ponca City,74601,04,03/21/2011
Albertsons,Midwest City,73110,05,06/19/2007
Albertsons,Tulsa,74106,12,06/19/2007
Albertsons,Owasso,74055,12,06/19/2007
Alorica,Tulsa,74134,12,04/03/2013
America On Line (AOL),Oklahoma City,73107,05,12/01/2006
American Airlines,Tulsa,74151,12,09/17/2012
American Airlines Billing &Payroll,Tulsa,74133,12,01/26/2015
American Woodmark,Tahlequah,74464,10,03/31/2009
Amerisource Bergen,Tulsa,74145,07,03/01/2006
"Anderson Services, Inc.",Oklahoma City,73116,05,02/24/2009
APAC,Oklahoma City,73152,05,09/23/2006
Apache Corp,Tulsa,741364224,12,06/01/2015
Apergy,Claremore,74019,07,04/28/2020
Aryzta,Vinita,74301,07,03/30/2015
ASEC DELPHI,Catoosa,74015,12,01/22/2006
Assurant Solutions,Lawton,73505,06,03/29/2012
"Avis Rent A Car System, Inc",Tulsa,74169,12,09/16/2001
Backflip Studios,Boulder,80306,67,10/23/2019
Baker Hughes,Oklahoma City,73114,66,04/15/2020
Baker Hughes,Clinton,77515,02,02/06/2015
Baker Hughes,Yukon,73099,05,02/18/2016
Baker Hughes GE,"Oklahoma City,",73118,66,01/25/2018
Baldor Electric,Claremore,74019,05,05/05/2015
Bartlett Collins,Sapulpa,74067,12,01/30/2008
Beauty Alliance Inc. dba SalonCentric,Tulsa,74146,12,05/01/2012
BHP Billiton,Tulsa,74136,12,10/17/2012
Biomerieux,Oklahoma City,73159,05,10/30/2003
Biomet,Marlow,73055,06,01/04/2008
BizJet,Tulsa,74115,12,11/25/2015
BJ Services,Yukon,73099,05,01/31/2019
BLITZ U. S. A.,Miami,74354,07,06/12/2012
Blue Cross/Blue Shield,Tulsa,74119,12,01/14/2010
Blue Ribbon Downs,Sallisaw,74955,10,10/25/2009
BREMNER Food Group,City of Poteau,74953,09,02/10/2012
Bremner Food Group,Poteau,74953,09,04/25/2011
"Bremner Food Group, Inc.",City Poteau,74953,08,04/02/2012
Bridgestone/Firestone,Oklahoma City,73152,05,09/20/2006
CACI,Lawton,73501,06,04/29/2019
"CACI Technologies, Inc.",Lawton,73501,06,04/29/2019
Cameron,Ponca City,74604,04,05/19/2009
Cameron Drilling,Moore,73160,66,04/23/2020
Cameron International,Oklahoma City,73128,05,03/16/2016
Capital One,Tulsa,74134,12,07/10/2019
Carlisle Brake and Friction,Catoosa,74015,07,09/28/2017
Carlisle Brake and Friction,Catoosa,74105,07,09/08/2017
Carlisle Brake and Friction,Catoosa,74105,07,05/23/2018
Caterpillar,Tulsa,74133,12,06/03/2010
CDG Management,Muskogee,74401,10,05/15/2009
Ceco Doors,Oklahoma City,73179,05,10/01/2002
Celestica,Oklahoma City,73127,05,03/03/2003
Celestica,Oklahoma City,73127,05,07/12/2002
Celestica,Oklahoma City,73127,05,07/12/2002
Celestica,Oklahoma City,73127,05,07/12/2002
Celestica,Oklahoma City,73127,05,07/12/2002
Celestica,Oklahoma City,73127,05,08/12/2002
"Cendant/Avis Rent A Car System, Inc.",Drumright,74030,03,09/16/2001
Cendent Travel,Moore,73160,05,03/30/2001
CGI Federal,Lawton,73501,02,04/02/2013
CGI Federal,Lawton,73501,02,02/11/2015
"Chaparral Energy, LLC",Oklahoma City,73114,05,02/03/2015
Charles Komar,McAlester,74502,09,06/03/2003
Chart Cooler Service Company,Tulsa,74115,12,08/22/2019
Chesapeake,Oklahoma City,73118,05,09/29/2015
Chesapeake Energy Corporation,Oklahoma City,73118,05,10/08/2013
Chickasaw Industries,Oklahoma City,73135,05,11/22/2013
Chromalloy,Midwest City,73110,05,01/18/2013
Cinch Connectors,Vinita,74301,07,10/01/2012
Circor,Oklahoma City,73149,66,10/09/2018
Circuit City Stores,Ardmore,73401,08,01/18/2009
Clearwater Paper,Oklahoma City,73127,05,11/29/2017
CMS Energy,Tulsa,74119,12,06/11/2003
Coca Cola Bottling and Distribution,Okmulgee,74447,10,01/24/2018
Coca-Cola,Oklahoma City,73107,66,01/22/2018
Collins & Aikman,Oklahoma City,73135,05,01/05/2006
Community Development Head Start - Tecumseh,Tecumseh,74873,66,04/27/2017
Community Development Institute- Head Start,Grove,74344,07,04/11/2014
Conoco / Phillips,Pona City,74601,04,03/06/2003
Continuum,Yukon,73099,66,06/14/2019
Convergys,Moore,73160,05,01/06/2014
Corporate Express,Tulsa,74145,12,01/07/2008
Corrections Corp. of America,Watonga,73772,01,04/21/2014
Corrections Corporation of America,Watonga,73772,04,03/08/2010
Corrections Corporation of America,Tulsa,74103,12,05/10/2005
Cox Communications,Oklahoma City,73120,05,03/03/2014
Cox Communications - Tulsa,Tulsa,74146,12,03/04/2014
Crane Carrier,Tulsa,74115,12,06/18/2014
Crothall Healthcare,Wayne,19087,12,11/17/2014
Crystal Lake Farms,Jay,74346,07,07/12/2018
D&L Oil Tools,Tulsa,74107,12,02/22/2016
Dana Corporation,Oklahoma,73129,05,02/11/2002
Dana Corporation / Wix Division,Oklahoma City,73129,05,02/11/2002
Dayton Tire/Bridgestone Firestone,Oklahoma City,73128,05,04/28/2006
Delta Faucet,Chickasha,73023,06,01/17/2006
Devon Energy,Oklahoma City,73102,05,02/19/2016
Dillard's,Lawton,73501,06,05/13/2020
"Dillards, Inc",Oklahoma City,73149,05,10/28/2008
Dish,Tulsa,74136,12,09/09/2013
DMI Industries,Tulsa,74116,12,08/06/2012
Dollar Thrifty Automotive,Tulsa,74153,12,04/19/2007
Dollar Thrifty Automotive,Tulsa,74135,12,07/31/2006
Dollar Thrifty Automotive,Tulsa,74153,12,04/19/2007
"Dollar Thrifty Automotive Group, Inc",Tahlequah,74464,10,01/20/2012
Dominion Correctional Services,McLoud,74831,05,02/21/2003
Eagle Picher Technologies,Grove,74345,07,04/12/2002
EAN Services,Tulsa,74134,12,04/27/2020
Eaton Corporation,Vinita,74301,07,09/07/2006
Eaton Corporation,Vinita,74301,03,04/07/2006
Eaton Hydraulics,Vinita,74301,07,06/16/2005
Empire Castings,Tulsa,74127,12,10/01/2013
Energy Transfer,Tulsa,74136,12,01/06/2020
Enterprise Holdings,Tulsa,73134,12,04/27/2020
Ethan Allen Operations,Atoka,74525,08,09/06/2006
Everi,Oklahoma City,73179,66,03/23/2020
EXIDE Technologies,Oklahoma City,73129,05,06/05/2001
Experience Works,Arlington,22203,05,11/07/2016
"Exterran, Inc.",Broken Arrow,74014,12,03/03/2009
Farley's & Sathers Candy Co Inc,Oklahoma City,73114,05,07/09/2002
Featherlite,Pryor,74362,07,06/20/2001
Federal-Mogul Motorparts,Oklahoma City,73129,05,11/03/2014
First Data,Tulsa,74103,12,07/30/2007
First Data,Tulsa,73104,12,07/30/2007
Fleming,Tulsa,74146,12,07/21/2003
Fleming,Oklahoma City,73152,05,09/23/2003
Fleming,Oklahoma City,73152,05,09/23/2003
Fleming,Oklahoma City,73114,05,05/07/2002
Fleming,Oklahoma City,73114,05,05/07/2002
FMC Technologies,Oklahoma City,73179,05,07/14/2016
"Foundation Surgical Hospital Management, LL",Oklahoma City,73134,66,01/31/2017
Franchise Foods,Yukon,73099,05,05/18/2007
Fresh Creative Foods,Moore,73160,05,09/28/2017
Gannett,Tulsa,74145,12,02/07/2011
Gatorade,Pryor,74362,07,12/01/2008
Gatorade/Pepsico,Pryor,11111,04,02/18/2010
General Motors,Oklahoma,73126,05,01/25/2006
Georgia Pacific,Pryor,74362,07,06/16/2008
Gerber Coburn,Muskogee,74403,10,06/28/2004
Gerdau Ameristeel,Sand Springs,74063,12,12/11/2008
Gerdau Ameristeel,Sand Springs,74063,12,08/17/2009
Great Plains Correctional Facilit,Hinton,73047,06,01/12/2007
Great Plains Correctional Facilit,Hinton,73047,06,01/12/2007
Great Plains Correctional Facility,Hinton,11111,06,08/18/2010
Grede Foundry,Pryor,74444,07,02/26/2002
Grede Foundry,Pryor,74444,07,02/16/2001
Gulfstream Aerospace,Bethany,73008,05,07/18/2002
Gulfstream Aerospace,Bethany,73008,05,03/26/2002
Gulfstream Aerospace,Bethany,73008,05,04/18/2002
Gulfstream Aerospace Technologies,Oklahoma City,73008,05,02/06/2002
Halliburton,El Reno,73036,66,12/02/2019
Halliburton,Pocasset,73079,06,04/15/2020
Halliburton,Duncan,73536,06,04/06/2020
