Employer,City,Zip,LWIB Area,Notice Date
Halliburton,Duncan,73533,06,05/23/2016
Halliburton Energy Services,Oklahoma City,73127,05,03/18/2015
"Halliburton Energy Services, Inc.",Duncan,73533,06,04/28/2020
Hanover Company,Davis,73030,08,06/11/2003
Haulmark Trailers,Duncan,73533,06,07/26/2007
HCR ManorCare,Norman,73069,05,07/11/2016
Heartland/Schaller Anderson,Oklahoma City,73102,05,11/21/2003
Herc Rentals,Oklahoma City,73134,66,04/04/2017
Hertz,Tulsa,74135,12,02/11/2016
Hertz,Oklahoma City,73134,66,04/28/2020
Hertz,Oklahoma City,73120,05,05/07/2008
Hertz,Oklahoma City,73120,05,05/07/2008
Hertz,Oklahoma City,73120,05,05/07/2008
High Sierra Energy,Centrahoma,11111,08,04/22/2010
HighMount Exploration & Production,Oklahoma City,73134,05,05/14/2014
Hillcrest Hospital,Tulsa,74127,12,02/17/2015
Hilti,Tulsa,74146,12,04/03/2003
HMS Host Corporation,Tulsa,74115,12,02/20/2017
Hostess,Tulsa,74112,12,05/04/2012
HSBC Card Services,Tulsa,73134,12,05/10/2010
Hudson Products Holdings aka Smithco,Tulsa,74132,12,01/30/2017
Hy-Tech Manufacturating,Ada,74820,08,02/06/2001
Hy-Tech Manufacturing,Ada,74820,08,01/31/2001
Hy-Tech Manufacturing,Ada,74820,08,01/23/2002
Hy-Tech Mfg,Ada,74820,08,01/13/2002
Hy-Tech Mfg,Ada,74820,08,12/23/2001
Imation,Weatherford,73096,02,01/19/2011
Interim solutions for Government,Oklahoma City,73112,05,03/04/2013
International Business Machines (IBM),Endicott,13760,12,11/26/2002
"IPSCO Tubulars (OK), Inc.",Catossa,74015,07,02/25/2015
"IPSCO Tubulars, LLC",Catoosa,74015,07,07/01/2019
Jackie Cooper Transport,Oklahoma,73135,05,11/30/2005
Jackie Cooper Transport Co.,Oklahoma City,73117,05,03/06/2009
Jackie Cooper Transport Co.,Oklahoma City,73117,05,02/06/2009
JC Penney,Tulsa,741356062,12,02/10/2020
John Zink,Tulsa,74116,12,04/04/2009
Johnson Controls,Oklahoma City,73135,05,01/25/2006
K Mart,Broken Arrow,74011,12,03/01/2004
K Mart,Tulsa,74146,12,03/29/2002
K Mart,Tulsa,74115,12,03/05/2003
K Mart,Pona City,74601,04,03/14/2002
K Mart,Oklahoma City,73109,05,03/12/2002
K Mart,Mid West City,73110,05,03/13/2002
K-Mart,Ada,74820,08,07/05/2001
Kaiser Aluminum,Tulsa,74145,12,12/18/2008
KeHE Monterrey Provisions,Oklahoma City,73114,66,04/24/2017
Kenco Plastics,Poteau,74953,08,04/28/2016
Kwikset,Bristow,74010,12,04/19/2004
L-3 STRATIS,Oklahoma City,73169,05,03/21/2011
Labinal,Pryor,74362,07,10/06/2008
Laredo Petroleum,Tulsa,74119,12,04/08/2019
Latimer County Hospital,Wilburton,74578,08,10/03/2018
Laufen International,Tulsa,74117,12,07/27/2005
Life Insurance Operations,Oklahoma City,73134,05,06/12/2009
Lifeline/AmeriVision,Oklahoma,73112,05,01/13/2000
Lifetouch Inc.,Tulsa,553447242,12,01/06/2009
Limco,Tulsa,74107,12,02/09/2009
Linde Engineering North America,Tulsa,74136,12,03/22/2017
LM Farms (formerly Zelenka,Hulbert,74441,10,10/10/2016
Lockheed Martin,Tulsa,74145,12,06/15/2002
Lucent Technologies,Oklahoma,73127,05,01/22/2001
Lufthansa Technik,Tulsa,74146,12,10/25/2010
Macy's,Oklahoma City,73149,05,12/28/2007
Macy's,Oklahoma City,73134,05,01/06/2016
Mercury Insurance Group,Oklahoma City,73132,05,02/22/2013
Mercury Marine,Stillwater,74075,04,01/18/2011
MetLife,Tulsa,74103,12,07/31/2019
Montgomery Wards,Lawton,73505,06,01/18/2001
Montgomery Wards,Midwest City,73110,05,01/19/2001
Montgomery Wards,Oklahoma City,73118,05,01/20/2001
Montgomery Wards,Ardmore,73401,08,01/16/2001
Montgomery Wards,Oklahoma,73149,05,01/17/2001
MotorGuide,Tulsa,74107,12,07/08/2009
Mutual of Omaha,Woodward,73801,01,10/12/2011
National Oilwell Varco,Tulsa,74116,12,02/03/2009
National Oilwell Varco - Enerflow,Broken Arrow,74014,12,04/29/2015
National Steak and Poulry,Owasso,74055,12,02/10/2002
National Steak and Poultry,Owasso,74055,12,02/08/2002
Nautilus,Tulsa,74116,12,07/27/2008
Newfield Exploration,Tulsa,74172,12,06/14/2016
"NexTier Completion Solutions, Inc",El Reno,73036,66,04/09/2020
Noble Energy,Velma,11111,06,06/09/2010
"Noble Energy, Inc.",Houston,77070,09,03/02/2015
Norris,Tulsa,74107,12,01/20/2015
North Fork Correctional Facility,Sayre,73662,02,06/12/2003
North Fork Correctional Facility,Sayre,73662,02,06/12/2015
Northrop Grumman,Oklahoma City,731355911,05,04/26/2012
Novitex,Lawton,73505,06,01/26/2016
Office DEPOT Max,Norman,73071,05,04/25/2014
Oklahoma City University,Oklahoma City,73106,05,04/10/2002
Old Time Pottery,Broken Arrow,11111,12,11/27/2009
Oral Roberts University,Tulsa,74171,12,10/12/2009
Paragon,sapulpa,74066,12,05/15/2009
Paragon Industries,sapulpa,74066,12,05/13/2009
Paramedics Plus,Oklahoma City,73102,05,08/13/2013
Phoenix Healthcare,Tulsa,74101,12,10/07/2011
Pilgrim's Pride,Oklahoma City,73108-5636,05,03/21/2001
Pinnacle Business Solutions,Oklahoma City,73116,05,01/08/2008
Pinnacle Business Solutions,Oklahoma City,73116,05,04/28/2008
Plant Performance Service,Sand Springs,74063,12,11/15/2010
Playcore,McAlester,74501,08,03/21/2019
Pleasant Hill/King Louie,Wagoner,74467,10,07/13/2004
Postal Training Center Marriott,Norman,73071,66,07/26/2018
"Pratt & Whitney Services, Inc",Tulsa,74108,12,03/27/2002
Principal Financial Group,Tulsa,74135,12,10/22/2010
PW Eagle,Shawnee,74804,03,02/02/2006
Quebecor World,Oklahoma City,73127,05,01/07/2002
Quebecor World,Oklahoma City,73127,05,01/07/2002
R1,Tulsa,74134,12,01/08/2019
Range Resources,Oklahoma City,73112,05,02/18/2015
Raytheon,Oklahoma City,11111,05,01/15/2010
Raytheon,Okalhoma City,73169,05,03/13/2013
Reasor's,Tulsa,74133,12,09/08/2014
Regal Cinemas,Moore,73160,66,04/29/2020
Regal Cinemas,Broken Arrow,74011,12,04/29/2020
Regal Cinemas,Midwest City,73110,66,04/29/2020
Remy Power Products,Edmond,73013,66,01/30/2017
Rexam,Oklahoma City,73099,05,12/10/2008
Roadway Express,Oklahoma City,73179,05,12/30/2008
ROAN Resources,Oklahoma City,73134,66,12/09/2019
RockTenn,Muskogee,74402,10,07/17/2013
Sable Permian,Oklahoma City,73118,05,06/02/2017
Samson Resouces,Tulsa,74103,12,03/27/2015
Samson Resources,Tulsa,74103,12,01/19/2017
SandRidge Energy,Oklahoma City,73102,66,05/28/2020
SandRidge Energy,Oklahoma City,73102,66,02/04/2020
SandRidge Energy,Oklahoma City,73102,66,04/17/2020
SandRidge Energy,Oklahoma City,73102,66,04/16/2020
Sara Lee Coffee and Tea,Oklahoma City,73114,05,03/27/2003
"Saxon Publishers, Inc.",Norman,73071,05,07/07/2004
Schrader Bridgeport,Muskogee,74403,10,11/04/2003
Science Applications International Coorporatin,Tulsa,74103,12,01/12/2003
Seagate Technology,Oklahoma,73127,05,02/18/2002
Seagate Technology,Oklahoma City,73157,05,05/07/2001
Sears,Oklahoma City,73134,05,01/30/2013
Select Specialty Hospital,Muskogee,74403,10,11/05/1999
ServaGroup -Port of Catoosa,Oklahoma City,73134,07,01/21/2015
Service King,Stroud,74079,03,09/09/2015
Shadow Mountain Behavioral Health,Tulsa,74136,12,02/01/2019
Shadow Mountain Behavioral Health System,Tulsa,74133,12,07/05/2019
Shaw Group,Tulsa,74107,12,06/09/2009
Siemans Health Services,Tulsa,74136,12,02/12/2002
Siemens,Bartlesvile,74003,07,05/23/2019
Siemens Dematic,Marietta,73448,08,12/02/2003
Siemens Health Services,Tulsa,74136,12,02/12/2002
"Signal Peak Silica, LLC",Oakwood,73658,67,03/30/2020
Simmons Bank,Madill,73446,06,10/10/2019
Simmons Foods,Jay,74346,07,10/27/2014
"Simmons Foods, Inc",McAlester,74501,09,02/19/2002
Simonton,McAlester,74501,09,09/02/2011
Sitel,Norman,73071,05,06/28/2012
Sitel,Norman,73071,66,10/21/2019
Sitel - Bartlesville,Bartlesville,74006,07,06/27/2017
SKF,Hobart,73651,02,05/19/2015
SKF USA Inc.,Hobart,73651,02,05/19/2015
SM Energy,Tulsa,74136,12,01/15/2015
"Smith Bits, A Schlumberger Company",Ponca City,74601,67,04/04/2017
Sodexo,Oklahoma City,73107,05,02/02/2015
Solitaire,Madill,73446,08,12/02/2011
South western Bell Communications (SBC),Tulsa,74120,12,01/16/2003
Spirit Aerosystems,McAlester,74501,08,01/23/2020
Spirit Aerosystems-Gulfstream Div.,Tulsa,74116,12,12/09/2014
Sportsman's Warehouse,Oklahoma City,73111,05,03/11/2009
SPX Heat Transfer,Tulsa,74116,07,06/18/2018
St. Gregory's University,Shawnee,74804,66,11/28/2017
St. John Health System,Tulsa,74134,12,01/30/2017
"Staples, Inc",Tulsa,74145,12,02/06/2002
StarTek,Enid,73701,04,01/04/2012
State Farm,Tulsa,74146,12,06/26/2019
Step Energy Services,McAlester,74501,08,03/31/2020
Sunoco,Tulsa,74120,12,08/10/2004
Surgical Specialities Supply,Ada,74820,06,10/25/2002
Surgical Specialties,Ada,74820,08,07/21/2003
Sykes,Ada,74820,08,01/07/2004
Sykes,Tampa,33602,01,07/31/2012
TCS Holdings LLC,Oklahoma City,73102,66,11/18/2019
TEAM Oil Tools,Tulsa,74116,12,02/05/2015
TEREX Corporation,Oklahoma City,73128,05,11/14/2011
Texaco/Chevron,Tulsa,74120,12,07/13/2001
The Oklahoman Media Company,Oklahoma City,73114,05,07/29/2016
The Oklahoman Media Company,Oklahoma City,73114,05,06/27/2016
Thermu Tru,Roland,74954,10,01/26/2009
Thermu Tru Doors,Roland,74954,10,01/26/2009
Tracker Marine Group,City of Miami,74354,07,02/08/2012
Trase Miller,Tulsa,74134,12,10/18/2016
Tri-Point LLC- Ada,Ada,74820,66,01/02/2018
Trinity Rail,Oklahoma City,73108,05,11/03/2008
Trinity Rail Group,Oklahoma City,74120,05,07/10/2002
Trinity Structural Towers,Tulsa,74120,12,11/17/2008
Trinity Tank Car,Oklahoma City,73108,05,11/01/2016
Triumph Aerospace Structures,Tulsa,74115,12,05/08/2020
Tulsa Auto Auction,Tulsa,74115,12,03/23/2020
TW and Company,Enid,11111,04,07/29/2009
Tyco Plastics & Adhesives,Tulsa,74146,12,01/09/2004
Tyson Foods,Stillwell,74076,10,01/10/2003
"Tyson Foods, Inc.",Ponca City,74601,04,03/27/2009
U.S. Cellular,Tulsa,74146,12,06/07/2010
umicore Autocat USA,Catoosa,74015,07,05/04/2020
Unifirst Corporation,Wilburton,11111,09,04/27/2001
Unit Parts,Oklahoma City,73126,05,04/20/2005
Unit Rig/Terex,Tulsa,74701,12,06/01/2002
Unit Rig/Terex,Tulsa,74701,12,05/28/2002
United Airlines,Oklahoma City,73159,05,03/10/2015
United Design,Noble,73068,05,03/05/2001
United Health,Oklahoma City,73107,05,02/02/2011
United Health Group,Oklahoma City,73107,05,11/09/2010
Universal Pressure Pumping,El Reno,73036,66,09/03/2019
University of Oklahoma,Norman,73019,66,06/14/2019
University of Oklahoma,Norman,73019,05,02/06/2019
UpSource,Seminole,74868,03,03/31/2014
URS,Enid,73705,04,08/13/2010
US Foods,Oklahoma City,73114,05,10/03/2013
Vac Magnetics,Oklahoma City,73108,05,05/01/2002
"Vallourec Star, LP",Muskogee,74403,10,04/06/2020
Valtimet,Claremore,74017,07,04/07/2004
"VarTec CRM, Inc",Tulsa,74120,12,05/31/2002
VF Imageware (Wrangler),Okemah,11111,03,01/28/2003
VF Imagewear,Antlers,11111,09,12/15/2000
VF Imagewear (Wrangler),Seminole,11111,03,01/29/2003
VF Imagewear (Wrangler),Seminole,11111,03,07/18/2003
VF Jeanswear (Wrangler),Ada,11111,08,08/05/2003
VF Jeanswear (Wrangler),Seminole,74868,03,07/28/2003
VF Jeanswear (Wrangler),Coalgate,11111,08,10/25/2002
VT Group,Ft. Sill,73503,06,08/03/2011
Walgreens,Deerfield,60015,12,09/10/2012
Walmart,Perry,73077,01,06/20/2017
Walmart Claims Office,Bartlesville,74006,07,09/05/2017
Waterloo Industries,Muskogee,74401,10,02/05/2004
Weatherford,El Reno,73036,05,12/02/2016
Weatherford,"Woodward, OK",73801,01,12/05/2016
Wellcore,Oklahoma City,73112,05,10/01/2001
WellCore,Oklahoma City,73112,05,10/01/2001
Wellcore America,Oklahoma City,73112,05,10/01/2001
West business solutions,Oklahoma City,73114,05,05/13/2014
West Business Solutions,Oklahoma City,73114,05,12/09/2014
West Corp,Tulsa,74146,12,08/12/2009
West Corporation,Tulsa,11111,12,08/12/2009
Weyerhaeuser,Wright City,74766,09,03/17/2009
Weyerhaeuser,Wright City,74766,09,03/17/2009
Weyerhaeuser,Wright City,74766,09,10/24/2005
Weyerhauser,Idabel,74764,09,06/04/2002
Williams Cos,Oklahoma City,73105,05,12/07/2016
Windsor Foods,Tulsa,74145,12,07/11/2014
Woodland View Care and Rehabilitation Ctr,Tulsa,74133,12,08/13/2012
WorldCom,Tulsa,74117,12,03/05/2003
Worthington,"Skiatook, OK",74070,12,03/31/2015
WPX Energy,Tulsa,74103,12,02/10/2016
WPX Energy,Oklahoma City,73102,05,02/10/2016
Xerox,Yukon,73099,05,11/05/2008
Xerox Corporation,Mustang,73064,05,07/06/2001
Yamanouchi,Norman,73072,05,06/02/2005
Young America,Oklahoma City,73120,03,04/02/2002
Zebco,Tulsa,74115,12,12/07/2000
Zeledyne,Tulsa,74012,12,01/27/2010
Zeledyne,Broken Arrow,74012,12,05/31/2011
Zelenka Farms,Hulbert,74441,10,07/14/2016
